advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	w016	Week 16	211	1	75947861	7547208	368002	7260
Ciudadanos	Ciudadanos	74078667754	Facebook	w016	Week 16	3212	1	59524788	18607999	475787	40400
AMERISOFT SRL		AR573801583431647232	Google	w016	Week 16	84	1	30031081	2988551	3205	116
Partido Popular	Partido Popular	72249031214	Facebook	w016	Week 16	1524	1	24180596	6440666	157388	4253
Future Innovation SRL		AR474748779908562944	Google	w016	Week 16	12	1	18564240	1856071	68567	1169
COALICION CANARIA		AR489541609348661248	Google	w016	Week 16	1987	1	18404082	781181	72751	456
Podemos	Unidas Podemos	269212336568846	Facebook	w016	Week 16	120	1	15766703	7063370	82367	18848
SPD	SPD	47930567748	Facebook	w016	Week 16	1580	1	14662563	4918571	236306	20217
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	w016	Week 16	347	1	13620435	1212643	21382	543
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	w016	Week 16	8	1	11100000	1110000	91888	1550
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	w016	Week 16	108	1	10710000	1063999	96669	2543
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w016	Week 16	59	1	10195083	1015359	27615	616
Partido Animalista PACMA		AR145115193901318144	Google	w016	Week 16	4	1	9933333	993333	44888	766
Kialo		729627343834501	Facebook	w016	Week 16	93	1	8715907	3408000	39706	9203
European Commission		107898832590939	Facebook	w016	Week 16	66	1	8007075	3636662	30420	8137
sp.a	sp.a	57253967150	Facebook	w016	Week 16	134	1	7021131	2812434	33625	7719
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	w016	Week 16	39	1	6968296	3047666	13162	3237
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	w016	Week 16	22	1	6102569	2676031	12829	3570
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	w016	Week 16	49	1	5453406	534855	1411	65
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w016	Week 16	17	1	5000401	2317041	42695	9102
Un país moderno	Unidas Podemos	577723459314066	Facebook	w016	Week 16	38	1	4903155	2204317	33051	6497
PSOE	PSOE	189318235003	Facebook	w016	Week 16	117	1	4534815	1892124	11015	2761
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	w016	Week 16	30	1	4367760	1863228	16750	3700
Greenpeace France		39435457457	Facebook	w016	Week 16	11	1	4121847	2057000	20726	4049
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	w016	Week 16	31	1	3814038	1822904	13820	3236
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	w016	Week 16	23	1	3807102	1642490	30011	6618
PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	w016	Week 16	19	1	3686098	1563333	22071	5583
România în primul rând	Future Innovation	770704223323599	Facebook	w016	Week 16	30	1	3587640	1477333	3795	994
European Parliament		178362315106	Facebook	w016	Week 16	354	1	3503683	1503727	17024	3802
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	w016	Week 16	32	1	3496642	1473333	9700	2633
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	w016	Week 16	11	1	3414326	1648333	5618	2434
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w016	Week 16	26	1	3192952	314857	716	40
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	w016	Week 16	24	1	2869948	1351412	7563	1766
ČSSD	ČSSD	111041662264882	Facebook	w016	Week 16	65	1	2589935	907000	11885	3330
Romania #nuepsd	Future Innovation	293215748279337	Facebook	w016	Week 16	4	1	2499996	1099999	1680	525
D66	D66	52985377549	Facebook	w016	Week 16	17	1	2492565	1083331	18369	3889
HLAS	První prezidentská	320144481956623	Facebook	w016	Week 16	130	1	2485371	638500	3661	1218
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	w016	Week 16	3	1	2240164	224016	10887	193
Venstres Landsorganisation		AR283015942256984064	Google	w016	Week 16	35	1	2172936	199555	100860	1866
HLAS		AR312619193323225088	Google	w016	Week 16	241	1	2019217	129617	7131	318
Lilian Marijnissen	SP	844559615710915	Facebook	w016	Week 16	33	1	1997967	734000	13767	2400
En Comú Podem	En Comú Podem	463627663844039	Facebook	w016	Week 16	39	1	1915251	806136	7352	1609
SP	SP	128393027527	Facebook	w016	Week 16	62	1	1911938	670000	26938	4800
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	w016	Week 16	18	1	1893321	862666	5120	1432
Venstre, Danmarks Liberale Parti		21465928829	Facebook	w016	Week 16	248	1	1744634	582938	18441	4615
European Greens	European Greens	141366725876424	Facebook	w016	Week 16	20	1	1658005	716238	7087	2062
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	w016	Week 16	3	1	1599997	800000	7664	1533
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	w016	Week 16	17	1	1504983	626000	6017	2092
Compromís	Compromís	194053080624605	Facebook	w016	Week 16	25	1	1499265	625050	6093	1235
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	w016	Week 16	23	1	1466955	588821	5260	1287
Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	w016	Week 16	23	1	1401983	573172	4647	1037
Petizioni.it		1410474395723679	Facebook	w016	Week 16	6	1	1399994	600000	11994	2400
Greenpeace International		7297163299	Facebook	w016	Week 16	6	1	1339420	591538	1906	801
SPÖ	SPÖ	77393060080	Facebook	w016	Week 16	233	1	1324541	466332	10718	1305
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	w016	Week 16	12	1	1322655	574333	1522	100
Peter Mertens	PVDA	236485149843971	Facebook	w016	Week 16	467	1	1302604	412168	15569	1588
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	w016	Week 16	27	1	1289975	442000	6408	986
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	w016	Week 16	89	1	1185312	405318	5979	1148
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	w016	Week 16	24	1	1167280	114853	668	37
Mónica Oltra	Compromís	81107269227	Facebook	w016	Week 16	16	1	1164900	532383	2775	860
The Labour Party	The Labour Party	25749647410	Facebook	w016	Week 16	21	1	1152602	477809	10676	3824
Katarina Barley	SPD	1522202731410785	Facebook	w016	Week 16	46	1	1123954	346000	7354	700
George Simion		2212856535602171	Facebook	w016	Week 16	6	1	1114994	426000	2351	462
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	w016	Week 16	45	1	1101167	464498	2486	535
Fidesz	Fidesz	9844779306	Facebook	w016	Week 16	4	1	1099996	500000	2476	1238
Irene Montero	Unidas Podemos	699285113542248	Facebook	w016	Week 16	3	1	1086248	542250	7973	3083
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	w016	Week 16	18	1	1080982	429000	4182	600
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	w016	Week 16	3	1	1066664	500000	3998	800
London Gov	the Greater London Authority	713179875369048	Facebook	w016	Week 16	18	1	1062441	478623	9281	1772
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w016	Week 16	34	1	1060422	496171	2631	614
CDA Doetinchem		AR453512812329697280	Google	w016	Week 16	19	1	1050000	104117	326	17
Ujhelyi István dr.	MSZP	734217673259088	Facebook	w016	Week 16	27	1	1049304	425464	2819	1087
Coalicion Canaria	Coalicion Canaria	1499578240271320	Facebook	w016	Week 16	14	1	1035826	434000	2894	691
RMDSZ	RMDSZ	102601499822802	Facebook	w016	Week 16	25	1	1022826	385856	1026	235
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	w016	Week 16	68	1	1014627	86470	1923	113
kontrast.at	kontrast.at	1079650008770485	Facebook	w016	Week 16	37	1	1012086	399494	5116	1076
Politice.net	politice.net	2546711162025064	Facebook	w016	Week 16	7	1	1006331	501500	1067	211
Guardian Weekly		64525551258	Facebook	w016	Week 16	15	1	1002380	433450	4790	1194
Suomen Keskusta r.p.		AR441112520191639552	Google	w016	Week 16	1	1	999999	99999	499	49
Kyriakos Mitsotakis		34848567724	Facebook	w016	Week 16	4	1	999996	450000	1995	399
Apodemia		115927088504184	Facebook	w016	Week 16	4	1	999996	450000	396	0
CDU CSU Europa	CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament	1790920000965539	Facebook	w016	Week 16	50	1	995950	328000	7850	1000
UAB "BPN LT"		AR135010682042056704	Google	w016	Week 16	15	1	990000	99000	495	30
Greenpeace Deutschland		22541752487	Facebook	w016	Week 16	103	1	980985	390861	6890	1295
Junts per Catalunya	Junts per Catalunya	386166375144833	Facebook	w016	Week 16	25	1	957872	356477	3562	545
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	w016	Week 16	6	1	933327	416666	1774	794
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	w016	Week 16	213	1	927966	391045	4247	794
The Brexit Party	The Brexit Party	230416667843105	Facebook	w016	Week 16	4	1	900747	400000	8184	1620
Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	w016	Week 16	17	1	899983	210000	8483	1700
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	w016	Week 16	31	1	899970	204000	2920	0
