media_code_filter	media_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
image	Image	COALICION CANARIA		AR489541609348661248	Google	4713	1	54060000	770000	235650	0
image	Image	AMERISOFT SRL		AR573801583431647232	Google	172	1	41140000	4060000	8600	0
image	Image	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	173	1	39620000	3930000	8650	0
image	Image	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	837	1	22770000	1590000	41850	0
image	Image	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1838	1	22700000	480000	91900	0
image	Image	mmb media agentur d.o.o.		AR524572049809604608	Google	1085	1	19130000	870000	54250	0
image	Image	HLAS		AR312619193323225088	Google	773	1	12500000	530000	38650	0
image	Image	Mediabrands Digital OÜ		AR530356305605427200	Google	336	1	11820000	940000	16800	0
image	Image	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	121	1	10210000	950000	6050	0
image	Image	EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	279	1	9090000	700000	13950	0
image	Image	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	188	1	8360000	700000	9400	0
image	Image	GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	23	1	8060000	800000	1150	0
image	Image	CDA Doetinchem		AR453512812329697280	Google	46	1	7210000	700000	2300	0
image	Image	Partido Popular Regional De Canarias		AR288284801977286656	Google	120	1	6600000	590000	6000	0
image	Image	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	107	1	6020000	530000	5350	0
image	Image	KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	16	1	4750000	470000	800	0
image	Image	Sloboda a Solidarita		AR242125929453715456	Google	156	1	4170000	290000	7800	0
image	Image	Open Vld		AR369049153717665792	Google	317	1	3710000	60000	15850	0
image	Image	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	98	1	3590000	290000	4900	0
image	Image	DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	266	1	2750000	10000	13300	0
image	Image	Flamesite s.r.o.		AR522320249995919360	Google	179	1	2690000	100000	8950	0
image	Image	Slovenska demokratska stranka		AR170068335415787520	Google	18	1	2610000	260000	900	0
image	Image	UAB "BPN LT"		AR135010682042056704	Google	26	1	2600000	260000	1300	0
image	Image	Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	73	1	2530000	200000	3650	0
image	Image	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	89	1	2150000	140000	4450	0
image	Image	Pametno		AR222880077921124352	Google	36	1	1980000	180000	1800	0
image	Image	TOP 09		AR268709096956362752	Google	124	1	1870000	70000	6200	0
image	Image	KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	50	1	1760000	140000	2500	0
image	Image	Strana nezávislosti České republiky		AR465054111008555008	Google	9	1	1620000	160000	450	0
image	Image	Cink, s.r.o.		AR361287976015101952	Google	21	1	1290000	120000	1050	0
image	Image	Savo-Karjalan vihreät ry		AR343251587273064448	Google	24	1	1230000	110000	1200	0
image	Image	Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	36	1	1080000	80000	1800	0
image	Image	Rumilus Design Oy		AR391102333313875968	Google	28	1	1000000	80000	1400	0
image	Image	Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	80	1	980000	20000	4000	0
image	Image	Fianna Fáil		AR101183107301900288	Google	13	1	940000	90000	650	0
