media_code	media_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
text	Text	1974	60	21630000	210000	98700	0
image	Image	12829	63	333490000	21860000	641450	0
video	Video	912	51	12270000	350000	45600	0
