advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f	female	UK	United Kingdom	21	1	2291372	1045928	7938	2376
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	f	female	UK	United Kingdom	28	1	1986020	748849	7423	1953
The Labour Party	The Labour Party	25749647410	Facebook	f	female	UK	United Kingdom	10	1	945062	416476	7413	2296
Conservatives	The Conservative Party	8807334278	Facebook	f	female	UK	United Kingdom	730	1	867028	139702	39570	88
European Parliament	European Parliament	178362315106	Facebook	f	female	UK	United Kingdom	3	1	502937	242388	6910	2863
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	female	UK	United Kingdom	241	1	497874	111147	14802	0
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	f	female	UK	United Kingdom	21	1	231819	98286	4798	957
GMB Union	GMB Union	103295786760891	Facebook	f	female	UK	United Kingdom	5	1	200373	62696	435	0
People's Vote UK	People's Vote	748608695327755	Facebook	f	female	UK	United Kingdom	13	1	170900	51376	1692	228
West Midlands Conservatives	West Midlands Conservatives	223025417884693	Facebook	f	female	UK	United Kingdom	1	1	99082	49541	286	57
South West Green Party	The Green Party of England and Wales	244490049076873	Facebook	f	female	UK	United Kingdom	15	1	93207	25599	1194	0
38 Degrees	38 Degrees	200006375787	Facebook	f	female	UK	United Kingdom	7	1	66749	20926	439	0
Democratic Unionist Party	Democratic Unionist Party	105732052794210	Facebook	f	female	UK	United Kingdom	2	1	63643	12728	272	31
Scottish Labour Party	Scottish Labour Party	310039442421596	Facebook	f	female	UK	United Kingdom	3	1	51317	14277	591	87
West Midlands Labour	The Labour Party	1243222025739706	Facebook	f	female	UK	United Kingdom	4	1	45105	10905	275	0
Scientists for EU	Scientists for EU	642444842524195	Facebook	f	female	UK	United Kingdom	1	1	34924	17462	201	40
Tom Watson	The Labour Party. Promoted by Tom Watson on behalf of Tom Watson	470873686267967	Facebook	f	female	UK	United Kingdom	5	1	29815	5963	218	0
Eastern Region Green Party	Eastern Region Green Party 	1635570190048987	Facebook	f	female	UK	United Kingdom	2	1	28124	7349	324	51
Pledge for the Future	Pledge for the Future	266157764008126	Facebook	f	female	UK	United Kingdom	12	1	27744	5158	815	0
London Green Party	London Green Party	175350485880358	Facebook	f	female	UK	United Kingdom	9	1	26505	5302	607	0
Global Justice Now	Global Justice Now	6707857033	Facebook	f	female	UK	United Kingdom	1	1	24216	4843	55	0
Plaid Cymru	Plaid Cymru	26416930992	Facebook	f	female	UK	United Kingdom	1	1	23300	4660	269	53
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	f	female	UK	United Kingdom	1	1	21274	4254	245	49
InFacts	InFacts	678120165658753	Facebook	f	female	UK	United Kingdom	2	1	18646	3666	77	0
Scottish Green Party	Scottish Green Party	17999726169	Facebook	f	female	UK	United Kingdom	1	1	16458	3291	37	0
