advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	d095	2019-04-05	84	1	9679421	965441	43414	809
European Parliament		178362315106	Facebook	d095	2019-04-05	402	1	3280150	1420468	15819	3247
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	d095	2019-04-05	162	1	2232784	222012	470	0
European Commission		107898832590939	Facebook	d095	2019-04-05	62	1	1530334	711956	5831	1465
European Greens	European Greens	141366725876424	Facebook	d095	2019-04-05	17	1	1149935	509416	13279	3144
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	d095	2019-04-05	52	1	1074226	106298	310	18
Primes écologique		152399322377561	Facebook	d095	2019-04-05	2	1	999998	400000	9998	2000
Arnora Oy		AR181544213152792576	Google	d095	2019-04-05	1	1	909090	90909	45	4
SOCIALDEMOKRATIET		AR271193993235136512	Google	d095	2019-04-05	12	1	864468	86446	27653	466
Suomen Keskusta r.p.		AR441112520191639552	Google	d095	2019-04-05	26	1	789949	78300	12496	229
The Bamboo Brush Society		1152885191422950	Facebook	d095	2019-04-05	13	1	679987	265000	1287	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	d095	2019-04-05	31	1	672091	318505	1867	481
Sosialidemokraatit SDP		108945982480217	Facebook	d095	2019-04-05	72	1	618471	254523	3683	915
Lara Comi	Lara Comi	155619044465389	Facebook	d095	2019-04-05	5	1	599997	220000	1197	500
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	d095	2019-04-05	19	1	567563	56050	16663	327
Forza Italia		172265396249029	Facebook	d095	2019-04-05	2	1	549998	210000	5098	1000
TOP 09		AR268709096956362752	Google	d095	2019-04-05	148	1	531261	18666	1816	0
TRT World		1559901027613381	Facebook	d095	2019-04-05	1	1	499999	250000	74	37
Aides énergétiques pour tous		789578834730248	Facebook	d095	2019-04-05	1	1	499999	200000	4999	1000
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	d095	2019-04-05	5	1	395198	162500	618	170
38 Degrees	38 Degrees	200006375787	Facebook	d095	2019-04-05	58	1	394178	142703	2400	408
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	d095	2019-04-05	46	1	360641	33202	13649	276
Centre of Excellence		761616163858631	Facebook	d095	2019-04-05	5	1	359995	135000	572	0
People's Vote UK	People's Vote	748608695327755	Facebook	d095	2019-04-05	146	1	353240	84318	7551	1612
Médecins du Monde France		265420476920	Facebook	d095	2019-04-05	250	1	334841	26545	24696	9
