advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	200k_500k	200k - 500k	IE	Ireland	13	1	3594958	1437986	31698	6659
Referendum Commission		580832208630212	Facebook	200k_500k	200k - 500k	IE	Ireland	7	1	3499769	1399910	21990	4699
Facebook Ireland	Facebook Ireland	43110923010	Facebook	200k_500k	200k - 500k	IE	Ireland	4	1	1999994	799999	19995	3999
Fine Gael	Fine Gael	264172043210	Facebook	200k_500k	200k - 500k	IE	Ireland	3	1	1499998	600000	6997	2000
Fianna Fáil	Fianna Fáil	222629035132	Facebook	200k_500k	200k - 500k	IE	Ireland	1	1	499999	200000	999	500
Department of Foreign Affairs and Trade		449282445418073	Facebook	200k_500k	200k - 500k	IE	Ireland	1	1	499999	200000	4999	1000
Guy Verhofstadt		99985820015	Facebook	200k_500k	200k - 500k	IE	Ireland	1	1	457496	182998	914	457
European Greens		141366725876424	Facebook	200k_500k	200k - 500k	IE	Ireland	5	1	371686	148674	3716	743
Paddy Power		108803784913	Facebook	200k_500k	200k - 500k	IE	Ireland	3	1	285684	114273	2856	571
Kialo		729627343834501	Facebook	200k_500k	200k - 500k	IE	Ireland	26	1	226195	90478	1516	333
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	200k_500k	200k - 500k	IE	Ireland	16	1	170755	68302	1114	230
Humble Household		1746853745395190	Facebook	200k_500k	200k - 500k	IE	Ireland	5	1	101216	40486	671	134
Microsoft Education		171047642947607	Facebook	200k_500k	200k - 500k	IE	Ireland	4	1	74959	29984	667	133
Orelia Jewellery		404191947424	Facebook	200k_500k	200k - 500k	IE	Ireland	1	1	53925	21570	12	0
Greens/EFA in the European Parliament		150527751674751	Facebook	200k_500k	200k - 500k	IE	Ireland	6	1	52495	20998	46	14
Game of Sultans		185311195624361	Facebook	200k_500k	200k - 500k	IE	Ireland	4	1	42958	17183	509	177
