week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-16	FI	Finland	1515	161	7943861	1991705	123714	6025
w019	Week 19	2019-05-06	2019-05-12	FI	Finland	1260	169	9335459	2915063	101463	11222
w018	Week 18	2019-04-29	2019-05-05	FI	Finland	806	172	9278461	3873209	82803	23368
w017	Week 17	2019-04-22	2019-04-28	FI	Finland	517	142	2613158	1000290	27907	6460
w016	Week 16	2019-04-15	2019-04-21	FI	Finland	588	198	1564109	483783	19285	2946
w015	Week 15	2019-04-08	2019-04-14	FI	Finland	1913	555	18431498	6025494	179746	28668
w014	Week 14	2019-04-01	2019-04-07	FI	Finland	1499	523	11871984	4037656	109833	17129
w013	Week 13	2019-03-25	2019-03-31	FI	Finland	972	384	7712027	2897036	76751	13029
w012	Week 12	2019-03-18	2019-03-24	FI	Finland	780	332	4988606	1823810	51755	7399
w011	Week 11	2019-03-11	2019-03-17	FI	Finland	455	220	1889504	614875	20793	2154
w010	Week 10	2019-03-04	2019-03-10	FI	Finland	419	184	1255432	358845	15660	919
w009	Week 9	2019-02-25	2019-03-03	FI	Finland	191	93	1128910	380719	8147	1307
w008	Week 8	2019-02-18	2019-02-24	FI	Finland	171	70	564524	149939	6849	622
w007	Week 7	2019-02-11	2019-02-17	FI	Finland	124	60	354532	91401	4631	146
w006	Week 6	2019-02-04	2019-02-10	FI	Finland	120	58	604482	230795	4789	387
w005	Week 5	2019-01-28	2019-02-03	FI	Finland	142	49	1993240	800307	6903	1890
w004	Week 4	2019-01-21	2019-01-27	FI	Finland	91	39	162023	34527	2811	177
w003	Week 3	2019-01-14	2019-01-20	FI	Finland	96	44	202549	65204	2469	243
w002	Week 2	2019-01-07	2019-01-13	FI	Finland	84	40	818976	360223	4075	573
w001	Week 1	2019-01-01	2019-01-06	FI	Finland	67	33	459000	156885	3540	437
