advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	25_34	25-34	UK	United Kingdom	20	1	1502868	685951	4617	1394
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	25_34	25-34	UK	United Kingdom	28	1	823906	307239	3241	762
The Labour Party	The Labour Party	25749647410	Facebook	25_34	25-34	UK	United Kingdom	10	1	415067	184878	3240	1004
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	25_34	25-34	UK	United Kingdom	271	1	263872	62803	7968	0
European Parliament	European Parliament	178362315106	Facebook	25_34	25-34	UK	United Kingdom	3	1	260880	128235	3131	1397
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	25_34	25-34	UK	United Kingdom	17	1	164661	70447	3299	676
Conservatives	The Conservative Party	8807334278	Facebook	25_34	25-34	UK	United Kingdom	656	1	151464	28988	4686	20
People's Vote UK	People's Vote	748608695327755	Facebook	25_34	25-34	UK	United Kingdom	15	1	85227	27734	762	108
South West Green Party	The Green Party of England and Wales	244490049076873	Facebook	25_34	25-34	UK	United Kingdom	15	1	39548	10395	419	0
InFacts	InFacts	678120165658753	Facebook	25_34	25-34	UK	United Kingdom	2	1	24032	4792	62	0
West Midlands Labour	The Labour Party	1243222025739706	Facebook	25_34	25-34	UK	United Kingdom	4	1	23585	5132	98	0
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	25_34	25-34	UK	United Kingdom	1	1	21531	4306	248	49
Scottish Green Party	Scottish Green Party	17999726169	Facebook	25_34	25-34	UK	United Kingdom	1	1	21330	4266	48	0
Scientists for EU	Scientists for EU	642444842524195	Facebook	25_34	25-34	UK	United Kingdom	1	1	20786	10393	120	24
School Cuts	National Education Union	871798409656672	Facebook	25_34	25-34	UK	United Kingdom	7	1	19256	3743	199	0
Democratic Unionist Party	Democratic Unionist Party	105732052794210	Facebook	25_34	25-34	UK	United Kingdom	2	1	16432	3286	115	19
Eastern Region Green Party	Eastern Region Green Party 	1635570190048987	Facebook	25_34	25-34	UK	United Kingdom	2	1	15150	3808	174	29
Global Optimism	Global Optimism	2062802910474026	Facebook	25_34	25-34	UK	United Kingdom	1	1	15064	3012	34	0
Pledge for the Future	Pledge for the Future	266157764008126	Facebook	25_34	25-34	UK	United Kingdom	12	1	14821	2787	421	0
London Green Party	London Green Party	175350485880358	Facebook	25_34	25-34	UK	United Kingdom	9	1	14273	2855	327	0
38 Degrees	38 Degrees	200006375787	Facebook	25_34	25-34	UK	United Kingdom	7	1	12463	3654	71	0
Plaid Cymru	Plaid Cymru	26416930992	Facebook	25_34	25-34	UK	United Kingdom	1	1	11936	2387	137	27
Global Justice Now	Global Justice Now	6707857033	Facebook	25_34	25-34	UK	United Kingdom	1	1	11128	2225	25	0
Tom Watson	The Labour Party. Promoted by Tom Watson on behalf of Tom Watson	470873686267967	Facebook	25_34	25-34	UK	United Kingdom	5	1	8173	1634	62	0
Scottish Labour Party	Scottish Labour Party	310039442421596	Facebook	25_34	25-34	UK	United Kingdom	3	1	6893	1977	79	11
