country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BE	Belgium	w020	Week 20	2689	312	12636228	4550705	76909	11746
BE	Belgium	w019	Week 19	3876	457	91464425	33888481	603740	101600
BE	Belgium	w018	Week 18	3146	474	67126163	26963748	472513	92392
BE	Belgium	w017	Week 17	2747	496	43366191	16784303	310563	56380
BE	Belgium	w016	Week 16	2505	552	29279134	11087822	212039	34665
BE	Belgium	w015	Week 15	2269	701	20695361	7640562	136737	21595
BE	Belgium	w014	Week 14	1748	686	12007214	4315534	82492	10947
BE	Belgium	w013	Week 13	1339	535	9323357	3404174	56470	9067
BE	Belgium	w012	Week 12	1179	476	11200342	4401533	70391	11999
BE	Belgium	w011	Week 11	789	351	5942902	2186417	43407	7306
