age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	BE	Belgium	1530	476	6572023	2520838	33943	4605
18_24	18-24	BE	Belgium	10957	2051	103701122	40105846	653122	120766
25_34	25-34	BE	Belgium	12462	2264	89200520	34912300	594371	109650
35_44	35-44	BE	Belgium	12293	2226	65579768	25271118	448618	80742
45_54	45-54	BE	Belgium	11773	2148	54158011	20512429	400017	72059
55_64	55-64	BE	Belgium	10680	2005	42302534	15442225	345235	58794
65_	65+	BE	Belgium	9761	1821	28352252	10063314	249891	41069
