recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	SE	Sweden	1009	184	2312129	636112	15671	3612
rd2	Last 2 days	2019-05-06	2019-05-07	SE	Sweden	1154	215	5176082	1396514	35036	8178
rd3	Last 3 days	2019-05-05	2019-05-07	SE	Sweden	1240	237	8895301	2548917	63600	14765
rd4	Last 4 days	2019-05-04	2019-05-07	SE	Sweden	1315	253	12554241	3674819	91735	21291
rd5	Last 5 days	2019-05-03	2019-05-07	SE	Sweden	1454	277	16784577	5023611	120379	28379
rd6	Last 6 days	2019-05-02	2019-05-07	SE	Sweden	1526	291	18863929	5712740	135619	32060
rw1	Last week	2019-05-01	2019-05-07	SE	Sweden	1604	317	20359902	6159859	148303	35329
rw2	Last 2 weeks	2019-04-24	2019-05-07	SE	Sweden	2295	424	28874819	8851522	221331	53970
rw3	Last 3 weeks	2019-04-17	2019-05-07	SE	Sweden	2695	558	34739174	10903680	263323	65136
rw4	Last 4 weeks	2019-04-10	2019-05-07	SE	Sweden	3472	800	44916112	14539208	346580	85741
rm1	Last month	2019-04-08	2019-05-07	SE	Sweden	3696	869	48400090	15822492	379646	93398
rm2	Last 2 months	2019-03-09	2019-05-07	SE	Sweden	5603	1352	84609960	28696087	700669	173055
rm3	Last 3 months	2019-02-07	2019-05-07	SE	Sweden	6468	1444	97350515	33062224	791049	194994
rm6	Last 6 months	2019-01-01	2019-05-07	SE	Sweden	6814	1482	106784618	36534070	868543	214536
