recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-15	2019-05-15	35214	3816	125006898	43885136	902243	104911
rd2	Last 2 days	2019-05-14	2019-05-15	38418	4159	276344481	96756856	1992016	232024
rd3	Last 3 days	2019-05-13	2019-05-15	42055	4427	428526231	150635828	3046091	363938
rd4	Last 4 days	2019-05-12	2019-05-15	50696	4791	586508901	200136132	3907815	484475
rd5	Last 5 days	2019-05-11	2019-05-15	53396	5030	741492342	249613029	4772316	610754
rd6	Last 6 days	2019-05-10	2019-05-15	58527	5302	909933635	303462543	5701612	748312
rw1	Last week	2019-05-09	2019-05-15	65884	5547	1061163262	351337456	6682303	872234
rw2	Last 2 weeks	2019-05-02	2019-05-15	88642	7689	1892685734	627193984	11818337	1597379
rw3	Last 3 weeks	2019-04-25	2019-05-15	114049	9360	2544165934	854271527	16289343	2255835
rw4	Last 4 weeks	2019-04-18	2019-05-15	129035	10990	3057578412	1030390312	19535044	2692560
rm1	Last month	2019-04-16	2019-05-15	134536	11591	3195431855	1076710849	20451140	2799755
rm2	Last 2 months	2019-03-17	2019-05-15	180993	20727	4512023622	1535841045	29415226	4035866
rm3	Last 3 months	2019-02-15	2019-05-15	199291	23180	5026222241	1722409832	33248808	4576911
rm6	Last 6 months	2019-01-01	2019-05-15	211254	23813	5385066461	1850623000	36215836	5032026
