advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rw2	Last 2 weeks	206	1	55739790	25560569	312861	87221
CDU	CDU	78502295414	Facebook	rw2	Last 2 weeks	3170	1	38647830	9275000	347030	8300
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rw2	Last 2 weeks	176	1	33472558	14749592	74836	16588
AMERISOFT SRL		AR573801583431647232	Google	rw2	Last 2 weeks	108	1	25175147	2496151	4406	0
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rw2	Last 2 weeks	390	1	24582404	10050240	118930	22363
România în primul rând	Future Innovation	770704223323599	Facebook	rw2	Last 2 weeks	57	1	23693834	10567555	22005	5824
European Greens		141366725876424	Facebook	rw2	Last 2 weeks	115	1	23219367	10453000	139933	35300
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rw2	Last 2 weeks	117	1	22565806	9448812	67324	17511
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	rw2	Last 2 weeks	1949	1	21574594	495678	85567	0
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rw2	Last 2 weeks	54	1	21303834	9934741	46546	12625
FDP	FDP	21289227249	Facebook	rw2	Last 2 weeks	1544	1	21074451	6379543	189604	11045
mmb media agentur d.o.o.		AR524572049809604608	Google	rw2	Last 2 weeks	1359	1	20371047	871904	60769	0
sp.a	sp.a	57253967150	Facebook	rw2	Last 2 weeks	260	1	17250909	6625833	84634	16038
SPD	SPD	47930567748	Facebook	rw2	Last 2 weeks	4123	1	15906877	3461999	446077	10899
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rw2	Last 2 weeks	40	1	15026528	6934711	34962	15441
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rw2	Last 2 weeks	502	1	14509308	4892048	120276	20090
SPÖ	SPÖ	77393060080	Facebook	rw2	Last 2 weeks	621	1	14469660	4917391	114196	17403
Fidesz	Fidesz	9844779306	Facebook	rw2	Last 2 weeks	75	1	14201925	6690000	46276	22627
Partito Democratico		77034286895	Facebook	rw2	Last 2 weeks	129	1	13725726	5994336	46686	8549
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rw2	Last 2 weeks	21	1	12649979	5775000	45229	11749
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rw2	Last 2 weeks	772	1	12529417	4102999	169218	25811
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rw2	Last 2 weeks	65	1	12189945	5342718	23429	6202
Mediabrands Digital OÜ		AR530356305605427200	Google	rw2	Last 2 weeks	336	1	11819999	939999	16800	0
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rw2	Last 2 weeks	72	1	11379928	4665000	61028	14599
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rw2	Last 2 weeks	52	1	11360801	5007552	90931	22094
