advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Mai Mercado		397094903687472	Facebook	DK	Denmark	120	1	353880	76000	2835	495
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	DK	Denmark	16	1	350962	72994	4764	1030
Gitte Willumsen - Folketingskandidat for Venstre		1751959911736210	Facebook	DK	Denmark	4	1	349728	129893	1605	401
Linea Søgaard-Lidell	Søgaard-Lidell Linea	1002755833225691	Facebook	DK	Denmark	33	1	348913	91985	2539	642
Afrika Kontakt		194452460650048	Facebook	DK	Denmark	32	1	336951	80991	1896	441
Kathrine Olldag	Olldag Kathrine	810476755802044	Facebook	DK	Denmark	73	1	330824	64979	3644	669
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	DK	Denmark	33	1	320684	78942	3620	882
Britt Bager	Bager Britt	460055244123143	Facebook	DK	Denmark	23	1	309976	66000	3823	758
Bergur Larsson Løkke Rasmussen	Bergur Løkke Rasmussen	141378109375840	Facebook	DK	Denmark	30	1	308965	84997	3584	816
Steen Holm Iversen	Steen Holm Iversen	301279783370957	Facebook	DK	Denmark	21	1	304979	100000	3545	1272
Kim Edberg Andersen	Kim Edberg Andersen-Kristoffersen	533374726861312	Facebook	DK	Denmark	40	1	300960	80000	2860	589
SF Amager KBH		262391220488874	Facebook	DK	Denmark	31	1	262943	110987	2713	883
Folkebevægelsen for asylbørns fremtid		127791457997348	Facebook	DK	Denmark	10	1	262783	54958	1820	471
Serdal Benli	Benli Serdal	30196574028	Facebook	DK	Denmark	21	1	256979	65999	3853	883
Ali Aminali		1452133531486822	Facebook	DK	Denmark	4	1	255996	111000	7390	1472
Marie Bjerre		242091299473046	Facebook	DK	Denmark	16	1	252984	53000	2006	388
Fagbevægelsens Hovedorganisation	Fagbevægelsens Hovedorganisation	261599053881378	Facebook	DK	Denmark	21	1	243978	86999	2942	575
Anne Skau Styrishave	Styrishave Anne Skau	1407237706021123	Facebook	DK	Denmark	15	1	231691	63853	732	133
Dyrenes Beskyttelse		200709746630443	Facebook	DK	Denmark	9	1	221990	46999	2435	562
Mia Tang	Mia Tang	358828094665364	Facebook	DK	Denmark	24	1	211976	43000	2473	589
Radikale Venstre	Radikale Venstre	12458150929	Facebook	DK	Denmark	5	1	209995	45000	1673	415
Marianne Vind	Marianne Vind	329236874385098	Facebook	DK	Denmark	54	1	201946	48000	2603	508
UNICEF Danmark		63691965101	Facebook	DK	Denmark	1	1	199998	99999	669	133
Holger K Nielsen	SF	370360873057400	Facebook	DK	Denmark	4	1	199996	40000	2677	535
1664 Blanc		157416351125610	Facebook	DK	Denmark	1	1	199993	99997	669	133
JYSK Danmark		331225116969331	Facebook	DK	Denmark	1	1	199991	99996	669	133
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	DK	Denmark	15	1	199985	61000	1685	415
Morten Helveg Petersen		442403485851495	Facebook	DK	Denmark	4	1	199978	39996	2141	468
Jens-Henrik Kirk	Kirk Jens-Henrik	683682235062292	Facebook	DK	Denmark	12	1	198988	78000	1792	348
Michael Aastrup Jensen	Jensen Michael Aastrup	389665107805619	Facebook	DK	Denmark	22	1	191977	48999	947	200
HK/Privat	HK/Privat	56810821434	Facebook	DK	Denmark	9	1	179990	35999	1819	401
European Greens	European Greens	141366725876424	Facebook	DK	Denmark	11	1	172325	85310	5193	1056
Ørsted		170902079673829	Facebook	DK	Denmark	8	1	170992	34000	2235	441
Benny Engelbrecht		270431402967189	Facebook	DK	Denmark	16	1	169965	44995	814	187
Tommy Ahlers	Ahlers Tommy	2121857298076689	Facebook	DK	Denmark	7	1	166993	36000	2168	428
Kira Marie Peter-Hansen	Peter-Hansen Kira Marie	1497190180404355	Facebook	DK	Denmark	6	1	164993	32999	1083	294
Erling Bonnesen	Bonnesen Erling Faber	390925417751473	Facebook	DK	Denmark	10	1	164990	48000	1337	307
Liberal Alliances Ungdom	Liberal Alliances Ungdom	107893513382	Facebook	DK	Denmark	7	1	161993	32000	373	107
