platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	EE	Estonia	Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	30	1	1994965	759998	6269	1099
f	Facebook	EE	Estonia	Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	8	1	1900918	869969	4091	1099
f	Facebook	EE	Estonia	Igor Gräzin	Igor Gräzin	339367456669277	Facebook	29	1	1747970	687999	6070	800
f	Facebook	EE	Estonia	European Parliament		178362315106	Facebook	24	1	1685802	715386	16244	4012
f	Facebook	EE	Estonia	Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	91	1	1339468	335928	9396	100
f	Facebook	EE	Estonia	Isamaa erakond	Isamaa erakond	321163977576	Facebook	10	1	1310989	544999	5189	1599
f	Facebook	EE	Estonia	Urmas Paet	Paet Urmas	223092011815453	Facebook	39	1	912961	199000	4260	99
f	Facebook	EE	Estonia	Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	26	1	825967	314998	4573	499
f	Facebook	EE	Estonia	Veriff		959442754113350	Facebook	3	1	799997	350000	1332	267
f	Facebook	EE	Estonia	Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	41	1	546676	140947	6851	700
f	Facebook	EE	Estonia	Kialo		729627343834501	Facebook	355	1	387430	148537	2562	620
f	Facebook	EE	Estonia	Toitumisnõustaja Erik Orgu		592673214085550	Facebook	7	1	351993	130000	1493	200
f	Facebook	EE	Estonia	Jaak Madison	Madison Jaak	536519246456733	Facebook	11	1	330989	72000	1889	199
f	Facebook	EE	Estonia	European Greens	European Greens	141366725876424	Facebook	11	1	248342	93621	929	150
f	Facebook	EE	Estonia	Triin Saag	Saag Triin	2012394932389774	Facebook	31	1	243969	68000	3069	0
f	Facebook	EE	Estonia	Keskerakond	Keskerakond	161252453921396	Facebook	10	1	159990	44000	989	0
f	Facebook	EE	Estonia	Yoko Alender		709212302463805	Facebook	34	1	155966	47000	3366	0
f	Facebook	EE	Estonia	Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	9	1	135972	29996	890	0
f	Facebook	EE	Estonia	Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	37	1	122497	26915	3650	0
f	Facebook	EE	Estonia	Riho Terras		2217643278496367	Facebook	3	1	109997	25000	697	100
f	Facebook	EE	Estonia	Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	3	1	109996	24999	697	100
f	Facebook	EE	Estonia	Rimi Eesti		217485440760	Facebook	1	1	99999	50000	498	99
f	Facebook	EE	Estonia	Ablo		299078570887332	Facebook	8	1	72991	13999	791	0
f	Facebook	EE	Estonia	Noored Otsustajad	Eesti Noorteühenduste Liit (ENL)	205597239493153	Facebook	2	1	59998	15000	198	0
f	Facebook	EE	Estonia	Eiki Nestor	Sotsiaaldemokraatlik Erakond	1472281069715651	Facebook	7	1	59992	10999	693	0
