week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	EL	Greece	792	227	4580404	1608403	21255	1512
w019	Week 19	2019-05-06	2019-05-12	EL	Greece	1898	332	55451919	20583810	200380	17065
w018	Week 18	2019-04-29	2019-05-05	EL	Greece	1702	294	35541673	12971806	140705	13338
w017	Week 17	2019-04-22	2019-04-28	EL	Greece	1495	310	28935968	10631114	119793	12332
w016	Week 16	2019-04-15	2019-04-21	EL	Greece	1118	336	19444880	7124723	73449	9032
w015	Week 15	2019-04-08	2019-04-14	EL	Greece	1334	438	16813278	6078741	64671	5628
w014	Week 14	2019-04-01	2019-04-07	EL	Greece	1043	420	9799265	3335106	37997	1957
w013	Week 13	2019-03-25	2019-03-31	EL	Greece	726	328	9413149	3622002	33503	3790
w012	Week 12	2019-03-18	2019-03-24	EL	Greece	501	212	4473906	1707046	16152	2247
w011	Week 11	2019-03-11	2019-03-17	EL	Greece	397	187	4730806	1711041	16767	1395
w010	Week 10	2019-03-04	2019-03-10	EL	Greece	437	186	5641721	1958385	22370	1442
w009	Week 9	2019-02-25	2019-03-03	EL	Greece	246	118	1761384	505267	9769	319
w008	Week 8	2019-02-18	2019-02-24	EL	Greece	154	85	1252319	483674	5638	482
w007	Week 7	2019-02-11	2019-02-17	EL	Greece	112	61	953088	320592	3564	182
w006	Week 6	2019-02-04	2019-02-10	EL	Greece	80	41	972732	368822	3198	304
w005	Week 5	2019-01-28	2019-02-03	EL	Greece	111	46	1270811	484802	3109	452
w004	Week 4	2019-01-21	2019-01-27	EL	Greece	131	41	6677977	2780930	20203	3677
w003	Week 3	2019-01-14	2019-01-20	EL	Greece	112	43	2056490	830004	6078	779
w002	Week 2	2019-01-07	2019-01-13	EL	Greece	59	32	271411	92229	799	46
w001	Week 1	2019-01-01	2019-01-06	EL	Greece	50	25	334493	120458	1317	87
