country_code_filter	country_name_filter	age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LV	Latvia	13_17	13-17	259	107	164350	54407	479	13
LV	Latvia	18_24	18-24	1932	530	3461570	1310846	13913	1970
LV	Latvia	25_34	25-34	2212	590	4877394	1779006	23349	2907
LV	Latvia	35_44	35-44	2226	576	3852631	1319516	20059	2061
LV	Latvia	45_54	45-54	2096	550	2772885	914620	13876	1307
LV	Latvia	55_64	55-64	1596	505	2022782	637084	9660	785
LV	Latvia	65_	65+	1389	449	960891	294898	4600	395
