week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-17	LU	Luxembourg	529	85	5322588	1896883	30327	5344
w019	Week 19	2019-05-06	2019-05-12	LU	Luxembourg	464	98	3618522	1256960	20355	2696
w018	Week 18	2019-04-29	2019-05-05	LU	Luxembourg	501	120	2968335	1006005	16595	1404
w017	Week 17	2019-04-22	2019-04-28	LU	Luxembourg	475	115	1047755	373717	6419	500
w016	Week 16	2019-04-15	2019-04-21	LU	Luxembourg	521	155	680945	190196	4358	400
w015	Week 15	2019-04-08	2019-04-14	LU	Luxembourg	754	259	1741922	464054	8471	331
w014	Week 14	2019-04-01	2019-04-07	LU	Luxembourg	668	253	1140745	297176	8017	185
w013	Week 13	2019-03-25	2019-03-31	LU	Luxembourg	566	230	1818270	632742	13023	989
w012	Week 12	2019-03-18	2019-03-24	LU	Luxembourg	428	194	1295056	498577	7392	1071
w011	Week 11	2019-03-11	2019-03-17	LU	Luxembourg	285	122	593784	190448	2913	462
w010	Week 10	2019-03-04	2019-03-10	LU	Luxembourg	269	96	383313	112286	2510	130
w009	Week 9	2019-02-25	2019-03-03	LU	Luxembourg	139	62	271403	66452	1538	124
w008	Week 8	2019-02-18	2019-02-24	LU	Luxembourg	108	53	173208	46653	855	28
w007	Week 7	2019-02-11	2019-02-17	LU	Luxembourg	78	37	134822	37371	742	20
w006	Week 6	2019-02-04	2019-02-10	LU	Luxembourg	86	37	144441	45888	576	29
w005	Week 5	2019-01-28	2019-02-03	LU	Luxembourg	92	30	95989	25622	266	20
w004	Week 4	2019-01-21	2019-01-27	LU	Luxembourg	71	27	40577	18060	452	16
w003	Week 3	2019-01-14	2019-01-20	LU	Luxembourg	73	25	25934	11682	186	8
w002	Week 2	2019-01-07	2019-01-13	LU	Luxembourg	60	24	6656	1715	20	1
w001	Week 1	2019-01-01	2019-01-06	LU	Luxembourg	43	17	10093	3518	68	3
