age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
55_64	55-64	FR	France	Greenpeace France		39435457457	Facebook	124	1	3089223	1402230	16587	3825
55_64	55-64	FR	France	Médecins du Monde France		265420476920	Facebook	840	1	1035806	323831	16398	1252
55_64	55-64	FR	France	European Parliament		178362315106	Facebook	58	1	1025823	471187	6615	1369
55_64	55-64	FR	France	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	58	1	983127	411272	3367	885
55_64	55-64	FR	France	La Prime Énergie		336155273400553	Facebook	27	1	706122	280359	6193	1392
55_64	55-64	FR	France	Mon Homéo Mon Choix		1643185362449069	Facebook	28	1	675319	268468	6764	1470
55_64	55-64	FR	France	Primes écologique		152399322377561	Facebook	19	1	645223	269145	7795	1704
55_64	55-64	FR	France	Make.org	Make.org	122037308191612	Facebook	42	1	562004	224355	5861	1388
55_64	55-64	FR	France	Les Energies du Soleil		1684031805239401	Facebook	14	1	520508	233320	6488	1965
55_64	55-64	FR	France	2 Min Ecologie		433170297221149	Facebook	68	1	482336	166696	5373	995
55_64	55-64	FR	France	Ministère de l'Intérieur		103146727990	Facebook	14	1	453315	184909	2576	688
55_64	55-64	FR	France	Subventions énergétiques 2019	Primes Energetiques	1815507421886752	Facebook	105	1	428835	99155	4768	377
55_64	55-64	FR	France	Agence Isolation Pour Tous		568528630290119	Facebook	25	1	382347	155548	4641	1044
55_64	55-64	FR	France	Aides énergétiques pour tous		789578834730248	Facebook	16	1	369256	150504	4297	945
55_64	55-64	FR	France	Saine Abondance		2106701562887023	Facebook	21	1	263230	107799	2942	758
55_64	55-64	FR	France	Les Antagonistes		398415124026017	Facebook	2	1	245547	122242	2472	1218
55_64	55-64	FR	France	foodwatch France		194934737335658	Facebook	14	1	241277	81733	2774	521
55_64	55-64	FR	France	France Soleil		1928798227141536	Facebook	12	1	233468	113825	3235	1103
55_64	55-64	FR	France	FHE Group		1241383025915322	Facebook	1	1	232007	116004	1159	232
55_64	55-64	FR	France	Agence Française pour la Transition Energétique		1981871332106127	Facebook	18	1	231490	93401	1009	127
55_64	55-64	FR	France	350.org		12185972707	Facebook	60	1	208322	46017	934	87
55_64	55-64	FR	France	Mes économies d'énergie		124948231440251	Facebook	11	1	206808	78324	2235	444
55_64	55-64	FR	France	Ligue des droits de l'Homme		91187778160	Facebook	5	1	203106	97571	738	142
55_64	55-64	FR	France	Simulation Energétique		562488297524492	Facebook	20	1	199776	70771	2300	605
55_64	55-64	FR	France	UNICEF France		173159234432	Facebook	38	1	186804	73235	948	239
55_64	55-64	FR	France	Le Monde		14892757589	Facebook	34	1	173186	65670	315	40
55_64	55-64	FR	France	Fiat Professional France		346353942508593	Facebook	4	1	169518	68178	1570	312
55_64	55-64	FR	France	CIWF France	CIWF France	335868279790722	Facebook	5	1	166221	78142	2396	555
