advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	RO	Romania	76	1	26810626	11803852	61185	17081
Partidul Naţional Liberal		181375448581167	Facebook	RO	Romania	95	1	18172234	7774539	26664	7257
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	RO	Romania	95	1	17647000	8197617	57861	13551
România în primul rând	Future Innovation	770704223323599	Facebook	RO	Romania	64	1	16395628	7270856	17719	4328
Romania #nuepsd	Future Innovation	293215748279337	Facebook	RO	Romania	31	1	11159808	5164931	7893	3277
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	RO	Romania	77	1	10075674	4315888	34335	8677
European Commission		107898832590939	Facebook	RO	Romania	13	1	5796982	2883496	14924	3962
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	RO	Romania	35	1	4864966	2256000	14006	3991
RMDSZ	RMDSZ	102601499822802	Facebook	RO	Romania	144	1	4833853	1437999	5747	861
European Parliament		178362315106	Facebook	RO	Romania	71	1	3872239	1648885	15972	2317
Kialo		729627343834501	Facebook	RO	Romania	270	1	2606097	1042026	13978	3200
George Simion		2212856535602171	Facebook	RO	Romania	21	1	2525966	1017993	5248	1407
Winkler Gyula		1560147330888040	Facebook	RO	Romania	20	1	2452980	1090000	3021	777
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	RO	Romania	17	1	2419975	1049996	3715	861
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	RO	Romania	17	1	2275974	1060995	2139	399
Litere.net	litere.net	1504323906337545	Facebook	RO	Romania	12	1	2259986	1031999	1909	483
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	RO	Romania	33	1	2206283	1038356	5533	1523
Silvia Dinică		1128229287275038	Facebook	RO	Romania	10	1	2119971	879992	4031	987
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	RO	Romania	10	1	1849980	829996	2098	483
Politice.net	politice.net	2546711162025064	Facebook	RO	Romania	10	1	1662994	732002	1510	336
Eco friendly home		547824632336134	Facebook	RO	Romania	3	1	1549982	709993	1596	599
Declic	Declic	686190454826244	Facebook	RO	Romania	9	1	1505990	690999	1847	483
Departamentul Fonduri Europene al PSD		1030472763816931	Facebook	RO	Romania	6	1	1414910	605964	460	84
ALDE Sector 6		428872677299268	Facebook	RO	Romania	57	1	1342941	315999	2530	336
Tikaboo Romania		617570241716349	Facebook	RO	Romania	10	1	1311989	574999	5607	1113
Video News		329122497569429	Facebook	RO	Romania	4	1	1204994	500999	1490	420
Siegfried Muresan		731035500293728	Facebook	RO	Romania	5	1	1199978	469993	524	105
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	RO	Romania	5	1	1199952	549981	440	84
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	RO	Romania	12	1	1150983	499997	6321	1512
Gregoriana Tudoran		1985293741779690	Facebook	RO	Romania	25	1	1126438	320692	1609	272
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	RO	Romania	5	1	1099995	500000	2520	567
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	RO	Romania	9	1	1099983	439996	2519	882
Greens/EFA in the European Parliament		150527751674751	Facebook	RO	Romania	22	1	983884	422663	1360	206
Calin Popescu Tariceanu		227922987222524	Facebook	RO	Romania	9	1	949991	400000	1048	273
EPP - European People's Party		48034275355	Facebook	RO	Romania	9	1	901483	390584	1229	402
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	RO	Romania	20	1	874514	285874	1045	272
Ovidiu-Iosif Gal, candidat independent pentru Parlamentul European		354404288474557	Facebook	RO	Romania	7	1	856527	361884	1462	196
Daniel Buda	Buda Daniel	220579784732993	Facebook	RO	Romania	39	1	815960	213999	811	0
George Simion Unire		294035851052538	Facebook	RO	Romania	35	1	772297	244379	1070	119
Ionel Dancă		227578001357165	Facebook	RO	Romania	8	1	764634	255905	250	21
Razvan Popa		128861244581738	Facebook	RO	Romania	45	1	719936	224990	2532	399
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	RO	Romania	42	1	706958	180000	1293	105
Departamentul pentru Mediul de Afaceri, Comerţ şi Antreprenoriat al PSD	Partidul Social Democrat	1238111743018265	Facebook	RO	Romania	3	1	699994	299998	419	147
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	RO	Romania	3	1	649982	259992	230	42
G4 Media		425074431631411	Facebook	RO	Romania	3	1	599960	219985	314	63
Kelemen Hunor	RMDSZ	175293925828191	Facebook	RO	Romania	17	1	550982	121999	689	84
WWF-Romania		189728367297	Facebook	RO	Romania	2	1	549998	210000	230	105
Zapatos		266384480473840	Facebook	RO	Romania	2	1	549997	209999	1155	231
Fratii Haiduc Music Events		686571504711148	Facebook	RO	Romania	18	1	529981	126999	374	0
Rares Bogdan		204397909629079	Facebook	RO	Romania	11	1	529975	174993	901	168
Vincze Loránt	Vincze Loránt	675042232534141	Facebook	RO	Romania	26	1	516974	124000	1244	0
Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	RO	Romania	1	1	499999	199999	209	105
