advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f	Facebook	UK	United Kingdom	21	1	5115979	2325000	16523	4860
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	f	Facebook	UK	United Kingdom	28	1	2264970	847999	8993	2082
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	UK	United Kingdom	730	1	1816269	289999	84555	231
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	UK	United Kingdom	10	1	1549989	679999	12370	3818
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	UK	United Kingdom	3	1	1149991	559997	15996	6499
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	UK	United Kingdom	281	1	977719	222000	32191	0
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	f	Facebook	UK	United Kingdom	21	1	869978	367999	17102	3471
People's Vote UK	People's Vote	748608695327755	Facebook	f	Facebook	UK	United Kingdom	15	1	351985	106000	3569	462
GMB Union	GMB Union	103295786760891	Facebook	f	Facebook	UK	United Kingdom	5	1	254995	81000	572	0
West Midlands Conservatives	West Midlands Conservatives	223025417884693	Facebook	f	Facebook	UK	United Kingdom	1	1	199999	100000	577	115
38 Degrees	38 Degrees	200006375787	Facebook	f	Facebook	UK	United Kingdom	7	1	144993	41000	801	0
South West Green Party	The Green Party of England and Wales	244490049076873	Facebook	f	Facebook	UK	United Kingdom	15	1	115985	34000	1718	0
Scientists for EU	Scientists for EU	642444842524195	Facebook	f	Facebook	UK	United Kingdom	1	1	99999	50000	577	115
Democratic Unionist Party	Democratic Unionist Party	105732052794210	Facebook	f	Facebook	UK	United Kingdom	2	1	99998	20000	691	115
School Cuts	National Education Union	871798409656672	Facebook	f	Facebook	UK	United Kingdom	7	1	71993	14000	801	0
West Midlands Labour	The Labour Party	1243222025739706	Facebook	f	Facebook	UK	United Kingdom	4	1	69996	16999	458	0
Scottish Labour Party	Scottish Labour Party	310039442421596	Facebook	f	Facebook	UK	United Kingdom	3	1	69996	19999	806	115
Tom Watson	The Labour Party. Promoted by Tom Watson on behalf of Tom Watson	470873686267967	Facebook	f	Facebook	UK	United Kingdom	5	1	69995	14000	572	0
Eastern Region Green Party	Eastern Region Green Party 	1635570190048987	Facebook	f	Facebook	UK	United Kingdom	2	1	59998	15000	691	115
InFacts	InFacts	678120165658753	Facebook	f	Facebook	UK	United Kingdom	2	1	50997	9999	229	0
Scottish Green Party	Scottish Green Party	17999726169	Facebook	f	Facebook	UK	United Kingdom	1	1	49999	10000	114	0
Global Optimism	Global Optimism	2062802910474026	Facebook	f	Facebook	UK	United Kingdom	1	1	49999	9999	114	0
Global Justice Now	Global Justice Now	6707857033	Facebook	f	Facebook	UK	United Kingdom	1	1	49999	10000	114	0
Plaid Cymru	Plaid Cymru	26416930992	Facebook	f	Facebook	UK	United Kingdom	1	1	49999	10000	577	115
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	f	Facebook	UK	United Kingdom	1	1	49999	10000	577	115
