audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	IE	Ireland	3909	1015	9108618	3608101	52276	8047
m18_24	male (18-24)	IE	Ireland	3676	994	8168477	3193764	48247	7358
m25_34	male (25-34)	IE	Ireland	4092	1075	6726403	2487309	45820	6986
f25_34	female (25-34)	IE	Ireland	4452	1110	6525724	2450913	44459	6752
f35_44	female (35-44)	IE	Ireland	4394	1091	5304457	1987877	38439	5812
m35_44	male (35-44)	IE	Ireland	4051	1064	4956815	1824630	34763	5267
f45_54	female (45-54)	IE	Ireland	4174	1053	3439791	1245953	25557	3694
m45_54	male (45-54)	IE	Ireland	3847	1023	3165720	1126917	22603	3244
f55_64	female (55-64)	IE	Ireland	3484	973	1914298	666313	14482	1972
m55_64	male (55-64)	IE	Ireland	3235	947	1526884	522862	11155	1482
f65_	female (65+)	IE	Ireland	2979	871	1406869	483833	10430	1495
m65_	male (65+)	IE	Ireland	2784	846	1080763	367140	7768	1071
f13_17	female (13-17)	IE	Ireland	550	193	660242	241165	3179	175
m13_17	male (13-17)	IE	Ireland	511	184	445626	163540	2465	135
u35_44	unknown (35-44)	IE	Ireland	3484	934	156354	58158	1095	166
u45_54	unknown (45-54)	IE	Ireland	3146	866	90926	32527	655	93
u25_34	unknown (25-34)	IE	Ireland	3362	903	76177	27967	548	78
u18_24	unknown (18-24)	IE	Ireland	2662	752	50568	19233	341	46
u55_64	unknown (55-64)	IE	Ireland	2268	767	33979	11708	253	34
u65_	unknown (65+)	IE	Ireland	2068	698	32142	10942	239	31
u13_17	unknown (13-17)	IE	Ireland	364	148	4374	1498	29	1
