country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	m25_34	male (25-34)	10012	1337	25389832	8955287	227527	34256
AT	Austria	m18_24	male (18-24)	9382	1218	21899437	7630271	185834	25825
AT	Austria	f18_24	female (18-24)	9402	1238	17446716	6164178	135582	17292
AT	Austria	f25_34	female (25-34)	10162	1361	16683400	5987952	150302	21601
AT	Austria	m35_44	male (35-44)	9678	1292	15751329	5476859	152517	22991
AT	Austria	m45_54	male (45-54)	9269	1250	12309014	4118269	128953	17908
AT	Austria	f35_44	female (35-44)	9881	1323	10895738	3799250	109742	15548
AT	Austria	f45_54	female (45-54)	9506	1271	9938035	3346827	107137	14188
AT	Austria	m55_64	male (55-64)	8328	1161	7778534	2518832	87160	11033
AT	Austria	f55_64	female (55-64)	8594	1174	7711977	2535943	88498	11058
