impression_code_filter	impression_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
500k_1m	500k - 1m	European Parliament		178362315106	Facebook	104	1	103999896	52000000	471612	138466
500k_1m	500k - 1m	Podemos	Unidas Podemos	269212336568846	Facebook	39	1	38999961	19500000	220961	62500
500k_1m	500k - 1m	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	20	1	19999980	10000000	48319	14707
500k_1m	500k - 1m	European Commission		107898832590939	Facebook	19	1	18999981	9500000	79981	20500
500k_1m	500k - 1m	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	17	1	16999983	8500000	33428	15785
500k_1m	500k - 1m	European Greens		141366725876424	Facebook	16	1	15999984	8000000	72984	18500
500k_1m	500k - 1m	Greenpeace France		39435457457	Facebook	16	1	15999984	8000000	79984	16000
500k_1m	500k - 1m	Partido Popular	Partido Popular	72249031214	Facebook	16	1	15999984	8000000	84984	20000
500k_1m	500k - 1m	Vlaams Belang	Vlaams Belang	56605856504	Facebook	15	1	14999985	7500000	79985	19000
500k_1m	500k - 1m	Best For Britain	Best for Britain	1863944713844924	Facebook	14	1	13999986	7000000	109916	39344
500k_1m	500k - 1m	Kialo		729627343834501	Facebook	13	1	12999987	6500000	75649	25813
500k_1m	500k - 1m	Conservatives	The Conservative Party	8807334278	Facebook	12	1	11999988	6000000	69417	13886
500k_1m	500k - 1m	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	11	1	10999989	5500000	29989	7200
500k_1m	500k - 1m	România în primul rând	Future Innovation	770704223323599	Facebook	11	1	10999989	5500000	8191	1890
500k_1m	500k - 1m	People's Vote UK	People's Vote	748608695327755	Facebook	10	1	9999990	5000000	121493	31244
500k_1m	500k - 1m	AMERISOFT SRL		AR573801583431647232	Google	32	1	9632959	963295	481	0
500k_1m	500k - 1m	Partito Democratico		77034286895	Facebook	9	1	8999991	4500000	33491	10600
500k_1m	500k - 1m	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	28	1	8428839	842883	421	0
500k_1m	500k - 1m	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	8	1	7999992	4000000	9453	2521
500k_1m	500k - 1m	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	7	1	6999993	3500000	14493	4100
500k_1m	500k - 1m	sp.a	sp.a	57253967150	Facebook	6	1	5999994	3000000	29994	6000
500k_1m	500k - 1m	Un país moderno	Unidas Podemos	577723459314066	Facebook	6	1	5999994	3000000	25994	5500
500k_1m	500k - 1m	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	5	1	4999995	2500000	24995	5000
500k_1m	500k - 1m	SPD	SPD	47930567748	Facebook	5	1	4999995	2500000	24995	5000
500k_1m	500k - 1m	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	5	1	4999995	2500000	4411	945
