impression_code_filter	impression_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	COALICION CANARIA		AR489541609348661248	Google	4654	1	31402516	0	157012	0
0_1k	0 - 1k	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1897	1	12799865	0	63999	0
0_1k	0 - 1k	mmb media agentur d.o.o.		AR524572049809604608	Google	1379	1	9304699	0	46523	0
0_1k	0 - 1k	SPD	SPD	47930567748	Facebook	7086	1	7078913	0	701513	0
0_1k	0 - 1k	HLAS		AR312619193323225088	Google	790	1	5330465	0	26652	0
0_1k	0 - 1k	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	696	1	4696207	0	23481	0
0_1k	0 - 1k	PSOE Aragón	PSOE Aragón	170970449608409	Facebook	3709	1	3705290	0	367191	0
0_1k	0 - 1k	CDU Christlich Demokratische Union		AR68737343799951360	Google	381	1	2570768	0	12853	0
0_1k	0 - 1k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2535	1	2532465	0	290414	0
0_1k	0 - 1k	Ciudadanos	Ciudadanos	74078667754	Facebook	2467	1	2464533	0	244233	0
0_1k	0 - 1k	Open Vld		AR369049153717665792	Google	311	1	2098449	0	10492	0
0_1k	0 - 1k	DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	265	1	1788067	0	8940	0
0_1k	0 - 1k	Mediabrands Digital OÜ		AR530356305605427200	Google	242	1	1632876	0	8164	0
0_1k	0 - 1k	CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	240	1	1619382	0	8096	0
0_1k	0 - 1k	Det Konservative Folkeparti		AR40969452518375424	Google	236	1	1592392	0	7961	0
0_1k	0 - 1k	Médecins du Monde France		265420476920	Facebook	1587	1	1585412	0	157069	0
0_1k	0 - 1k	EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	214	1	1443948	0	7219	0
0_1k	0 - 1k	Conservatives	The Conservative Party	8807334278	Facebook	1443	1	1441556	0	165312	0
0_1k	0 - 1k	ČSSD	ČSSD	111041662264882	Facebook	1409	1	1407590	0	8296	718
0_1k	0 - 1k	Flamesite s.r.o.		AR522320249995919360	Google	191	1	1288758	0	6443	0
0_1k	0 - 1k	Gestion et Action Libérale		AR201311233196949504	Google	182	1	1228031	0	6140	0
0_1k	0 - 1k	FDP	FDP	21289227249	Facebook	1215	1	1213784	0	120285	0
0_1k	0 - 1k	Partido Popular	Partido Popular	72249031214	Facebook	1174	1	1172825	0	116226	0
0_1k	0 - 1k	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	1172	1	1170827	0	134266	0
0_1k	0 - 1k	Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	160	1	1079588	0	5397	0
0_1k	0 - 1k	Sloboda a Solidarita		AR242125929453715456	Google	156	1	1052598	0	5262	0
0_1k	0 - 1k	Britain's Future	Britain's Future	1625300137516491	Facebook	1037	1	1035962	0	118800	0
0_1k	0 - 1k	People's Vote UK	People's Vote	748608695327755	Facebook	1030	1	1028969	0	117998	0
0_1k	0 - 1k	TOP 09		AR268709096956362752	Google	145	1	978376	0	4891	0
0_1k	0 - 1k	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	136	1	917649	0	4588	0
0_1k	0 - 1k	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	879	1	878121	0	87021	0
0_1k	0 - 1k	Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	863	1	862137	0	85437	0
0_1k	0 - 1k	Volt Deutschland	Volt Deutschland	134209407129787	Facebook	851	1	850149	0	84249	0
0_1k	0 - 1k	CDU	CDU	78502295414	Facebook	841	1	840159	0	83259	0
0_1k	0 - 1k	Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	102	1	688237	0	3441	0
0_1k	0 - 1k	Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	669	1	668330	0	66230	0
0_1k	0 - 1k	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	97	1	654500	0	3272	0
0_1k	0 - 1k	McCabe 4 Mayor	John Mccabe	564061654107377	Facebook	655	1	654344	0	75037	0
0_1k	0 - 1k	Liberal Alliance		AR183859784640888832	Google	84	1	566783	0	2833	0
0_1k	0 - 1k	Bündnis90/ Die Grünen		AR207068276079984640	Google	83	1	560036	0	2800	0
0_1k	0 - 1k	RefugiadosSOS		550220551831041	Facebook	552	1	551447	0	54647	0
0_1k	0 - 1k	Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	81	1	546541	0	2732	0
0_1k	0 - 1k	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	80	1	539794	0	2698	0
0_1k	0 - 1k	Kokoomus	Kokoomus	201285237101	Facebook	513	1	512486	0	50786	0
0_1k	0 - 1k	Liberal Alliance	Liberal Alliance	106952222676974	Facebook	494	1	493505	0	6548	0
0_1k	0 - 1k	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	72	1	485814	0	2429	0
0_1k	0 - 1k	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	72	1	485814	0	2429	0
0_1k	0 - 1k	Partido Popular Regional De Canarias		AR288284801977286656	Google	70	1	472319	0	2361	0
0_1k	0 - 1k	Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	441	1	440558	0	43659	0
0_1k	0 - 1k	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	440	1	439559	0	50407	0
0_1k	0 - 1k	Primavera Sound	Influence Digital Ltd	156656398155	Facebook	422	1	421577	0	48345	0
0_1k	0 - 1k	Global Justice Now	Global Justice Now	6707857033	Facebook	418	1	417581	0	47886	0
0_1k	0 - 1k	Mundo Sin Fronteras		764047283950662	Facebook	416	1	415583	0	41184	0
0_1k	0 - 1k	Peter Mertens	PVDA	236485149843971	Facebook	403	1	402596	0	39897	0
0_1k	0 - 1k	Andy Street	The Conservative Party	625464517632792	Facebook	398	1	397601	0	45595	0
0_1k	0 - 1k	Best For Britain	Best for Britain	1863944713844924	Facebook	395	1	394604	0	45251	0
0_1k	0 - 1k	Othmar Karas	Volkspartei	395638503864459	Facebook	374	1	373625	0	37026	0
0_1k	0 - 1k	Občanska demokraticka strana		AR386241117529571328	Google	55	1	371108	0	1855	0
0_1k	0 - 1k	Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	55	1	371108	0	1855	0
0_1k	0 - 1k	AMERISOFT SRL		AR573801583431647232	Google	54	1	364360	0	1821	0
0_1k	0 - 1k	SPOLU - občianska demokracia		AR194838133366325248	Google	52	1	350866	0	1754	0
0_1k	0 - 1k	Paul Bristow	Conservatives	293864561226540	Facebook	346	1	345653	0	39638	0
0_1k	0 - 1k	Pilar Alegría 2019	PSOE Aragón	1603193216419322	Facebook	345	1	344654	0	34155	0
0_1k	0 - 1k	Barcelona en Comú		AR342176264901099520	Google	50	1	337371	0	1686	0
0_1k	0 - 1k	Projekt Európa		AR303746959120793600	Google	49	1	330623	0	1653	0
0_1k	0 - 1k	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	325	1	324674	0	32175	0
0_1k	0 - 1k	Our West Lancashire	Our West Lancashire	1517535045204083	Facebook	312	1	311687	0	35743	0
0_1k	0 - 1k	Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	44	1	296886	0	1484	0
0_1k	0 - 1k	GREEN DAY, s.r.o		AR423241058193768448	Google	42	1	283391	0	1416	0
0_1k	0 - 1k	KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	41	1	276644	0	1383	0
0_1k	0 - 1k	Unitas		AR53945888749387776	Google	41	1	276644	0	1383	0
0_1k	0 - 1k	Andrew Stephenson MP	The Conservative Party	308313479373888	Facebook	262	1	261737	0	30015	0
0_1k	0 - 1k	Amber Rudd MP	The Conservative Party	385828341548336	Facebook	259	1	258740	0	29671	0
0_1k	0 - 1k	Venstres Landsorganisation		AR283015942256984064	Google	38	1	256402	0	1282	0
0_1k	0 - 1k	European Parliament		178362315106	Facebook	254	1	253745	0	25056	0
0_1k	0 - 1k	Katarina Barley	SPD	1522202731410785	Facebook	252	1	251747	0	24947	0
0_1k	0 - 1k	Respeto LGTB		2315084548728652	Facebook	250	1	249749	0	24749	0
0_1k	0 - 1k	Kansallinen Kokoomus r.p.		AR210958348219056128	Google	36	1	242907	0	1214	0
0_1k	0 - 1k	Open VLD		AR350212320510607360	Google	36	1	242907	0	1214	0
0_1k	0 - 1k	SOCIALDEMOKRATIET		AR271193993235136512	Google	35	1	236159	0	1180	0
