age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
45_54	45-54	FI	Finland	Sosialidemokraatit SDP		108945982480217	Facebook	280	1	3403839	1351012	20036	4619
45_54	45-54	FI	Finland	European Parliament		178362315106	Facebook	50	1	1001332	472237	7407	2752
45_54	45-54	FI	Finland	Vihreät - De Gröna		33722070600	Facebook	30	1	250862	95029	919	168
45_54	45-54	FI	Finland	Kokoomus	Kokoomus	201285237101	Facebook	277	1	211035	37963	7250	209
45_54	45-54	FI	Finland	Keskusta	Suomen Keskusta	55312855747	Facebook	31	1	185427	46208	842	81
45_54	45-54	FI	Finland	Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	14	1	170321	59877	1649	392
45_54	45-54	FI	Finland	Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	13	1	151948	39926	2695	598
45_54	45-54	FI	Finland	Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	34	1	131189	39958	1329	249
45_54	45-54	FI	Finland	K-Supermarket		380462231997295	Facebook	6	1	125164	54571	2448	545
45_54	45-54	FI	Finland	Viite - Tieteen ja teknologian vihreät		73631194779	Facebook	6	1	89805	35063	170	17
45_54	45-54	FI	Finland	Greenpeace Suomi	Greenpeace Suomi	9227859351	Facebook	22	1	87900	20660	887	110
45_54	45-54	FI	Finland	Piia Kurki	Piia Kurki	270567833058986	Facebook	28	1	87401	21481	879	100
45_54	45-54	FI	Finland	WWF Suomi		119054448115588	Facebook	7	1	78694	38381	315	83
45_54	45-54	FI	Finland	Camilla Gunell till EU 2019		360575481205047	Facebook	17	1	74926	16014	639	75
45_54	45-54	FI	Finland	Oatly		585888148224935	Facebook	3	1	74479	30636	590	116
45_54	45-54	FI	Finland	Neste		1083597725003936	Facebook	1	1	71948	28779	719	143
45_54	45-54	FI	Finland	Kaisa Penny		259256970891807	Facebook	40	1	70566	21979	687	25
45_54	45-54	FI	Finland	Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	39	1	67963	25510	672	23
45_54	45-54	FI	Finland	Petri Sarvamaa	Petri Sarvamaa	164624737027350	Facebook	13	1	66004	13745	508	73
45_54	45-54	FI	Finland	Veli Paasimaa eduskuntaan		2500363800014955	Facebook	5	1	64881	25531	712	126
45_54	45-54	FI	Finland	Työehtoshoppailu		1602354766564898	Facebook	1	1	64846	32423	1620	324
45_54	45-54	FI	Finland	Eurovaaliehdokas Kari Kallonen	Kallonen Kari Markku	2130226653737235	Facebook	32	1	62652	13625	760	65
45_54	45-54	FI	Finland	Olli Kotro Euroopan parlamenttiin 2019	Kauko Niko Aleksanteri	2211654885785838	Facebook	28	1	61112	16120	787	22
45_54	45-54	FI	Finland	Eero Lehti		148066211906308	Facebook	2	1	60329	24241	444	202
45_54	45-54	FI	Finland	Antton Rönnholm	Rekilä Piia Annikki	575908612596562	Facebook	26	1	59200	19188	770	82
