day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d116	2019-04-26	Partido Popular	Partido Popular	72249031214	Facebook	2118	1	21717111	8737749	161591	24791
d116	2019-04-26	Podemos	Unidas Podemos	269212336568846	Facebook	296	1	16923790	7498862	107812	28996
d116	2019-04-26	European Parliament		178362315106	Facebook	89	1	8420950	3834111	43373	11992
d116	2019-04-26	COALICION CANARIA		AR489541609348661248	Google	2672	1	4980688	56909	22342	0
d116	2019-04-26	PSOE	PSOE	189318235003	Facebook	308	1	4600626	1734958	16750	2381
d116	2019-04-26	Kialo		729627343834501	Facebook	44	1	3684960	1477500	15631	3774
d116	2019-04-26	Ciudadanos	Ciudadanos	74078667754	Facebook	228	1	3328386	1013500	17236	1650
d116	2019-04-26	FDP	FDP	21289227249	Facebook	257	1	2353707	723123	18683	1200
d116	2019-04-26	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	42	1	1852464	712500	13714	2850
d116	2019-04-26	Vlaams Belang	Vlaams Belang	56605856504	Facebook	6	1	1739406	816705	11342	2529
d116	2019-04-26	Romania #nuepsd	Future Innovation	293215748279337	Facebook	24	1	1719160	797083	1317	656
d116	2019-04-26	sp.a	sp.a	57253967150	Facebook	103	1	1613977	673718	7296	1785
d116	2019-04-26	The Brexit Party	The Brexit Party	230416667843105	Facebook	16	1	1566714	779322	20864	8308
d116	2019-04-26	ČSSD	ČSSD	111041662264882	Facebook	93	1	1133576	332333	8476	1896
d116	2019-04-26	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	46	1	1118611	456410	4323	1049
d116	2019-04-26	MSZP	MSZP	115388925185513	Facebook	18	1	1099763	470222	1056	317
d116	2019-04-26	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	8	1	1054164	448333	437	203
d116	2019-04-26	En Comú Podem	En Comú Podem	463627663844039	Facebook	35	1	1030512	427745	3599	1042
d116	2019-04-26	Compromís	Compromís	194053080624605	Facebook	24	1	1014427	450874	4077	1042
d116	2019-04-26	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	11	1	965343	402801	11213	2492
d116	2019-04-26	Greenpeace España	Greenpeace España	133044800622	Facebook	11	1	904990	391000	2990	500
d116	2019-04-26	Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	351	1	842649	167000	41249	1400
d116	2019-04-26	Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	7	1	809496	376500	5533	1062
d116	2019-04-26	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	231	1	694590	47785	1300	0
d116	2019-04-26	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	55	1	686261	274447	2539	398
