day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d135	2019-05-15	35214	3816	125006898	43885136	902243	104911
d134	2019-05-14	38265	4152	151337583	52871720	1089773	127113
d133	2019-05-13	36824	4106	152181750	53878971	1054074	131913
d132	2019-05-12	38607	4063	157982669	49500304	861724	120537
d131	2019-05-11	38412	4140	154983441	49476897	864500	126279
d130	2019-05-10	39903	4233	168441292	53849514	929295	137558
d129	2019-05-09	39942	4119	151229626	47874912	980691	123922
d128	2019-05-08	36348	3894	137433251	43672022	840851	113152
d127	2019-05-07	34788	3863	133946567	42638199	833878	108018
d126	2019-05-06	31495	3680	129261825	43275155	720493	107358
d125	2019-05-05	29370	3575	98739177	33203539	609907	94141
d124	2019-05-04	28846	3543	103511102	35089859	555509	86964
d123	2019-05-03	29269	3735	123387104	43988094	753973	127007
d122	2019-05-02	31133	4099	105243442	33989657	821419	88501
d121	2019-05-01	25662	4017	79179470	26322700	588739	82800
d120	2019-04-30	27516	4114	89569525	29039420	654143	81293
d119	2019-04-29	23252	3943	87899310	31310745	545398	86262
d118	2019-04-28	21243	3760	62941774	22041613	401229	58791
d117	2019-04-27	20607	3772	61948642	21958409	356269	55314
d116	2019-04-26	27824	3795	137836849	50447876	931178	153180
d115	2019-04-25	26988	3720	132104628	45956777	994046	140812
d114	2019-04-24	23846	3614	109647310	38046161	761251	106207
d113	2019-04-23	21366	3534	91603013	31405302	605123	84895
d112	2019-04-22	18352	3452	69189238	24041124	377064	56823
d111	2019-04-21	17089	3522	59269723	21010912	327610	45684
d110	2019-04-20	17305	3688	57085785	19829342	346795	46514
d109	2019-04-19	18006	3879	59697926	20475169	358180	47170
d108	2019-04-18	18282	3991	66919479	21310771	469676	49428
d107	2019-04-17	17580	4041	66762323	22126343	453968	52247
d106	2019-04-16	16671	4170	71091120	24194193	462126	54947
d105	2019-04-15	16089	4525	78391281	27889210	503915	71032
d104	2019-04-14	15063	4635	52463204	18358900	277936	41038
d103	2019-04-13	15121	4777	54721930	19287483	286493	40700
d102	2019-04-12	16359	4980	73052262	25995845	485417	64642
d101	2019-04-11	15264	4878	61394210	21741658	391293	57061
d100	2019-04-10	14123	4733	50486397	17634641	330192	46899
d099	2019-04-09	13627	4538	55519732	19163551	384982	55177
d098	2019-04-08	13856	4448	54102535	18424759	474895	60752
d097	2019-04-07	11938	4294	39269709	13463841	235232	34103
d096	2019-04-06	11969	4358	41732480	14570805	240054	34967
d095	2019-04-05	12947	4532	50339686	17001392	334755	43385
d094	2019-04-04	11732	4377	45713813	15199671	315558	44419
d093	2019-04-03	11076	4083	39368366	12895696	254639	33429
