advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SEAC scuba - snorkeling - freediving		110780655713826	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	76	38	0	0
RoboMarkets - Global		588252871551498	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	68	34	0	0
INSEAD		164840743574941	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	64	32	0	0
BonneGueule		140324089470	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	54	27	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	50	25	0	0
GAîA		389280808172899	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	49	25	0	0
Petra De Sutter		372776579930604	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	44	22	0	0
Pirate Parties International		152709151422154	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	34	17	0	0
PROGRESĪVIE		184096511636333	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	33	16	0	0
Kai and Reef		220940452105669	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	31	15	0	0
γυρίζουμε		278308089460720	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	30	15	0	0
Vegas Live Community		1024725667661429	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	27	13	1	0
Greenpeace Polska		32104614789	Facebook	50k_100k	50k - 100k	EE	Estonia	4	1	25	12	0	0
Tuunes		992176580926495	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	24	12	0	0
Veganuary		170911309781648	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	23	11	0	0
Roma EuroGames 2019		533740653459100	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	21	11	0	0
Flora & Fauna		303798486465804	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	17	8	0	0
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	16	8	0	0
Melba Culp		902971599738051	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	15	7	0	0
RSM MBA		110428762358678	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	15	7	0	0
Il Primato Nazionale	Il Primato Nazionale	587689174620699	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	14	7	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	14	7	0	0
Mailman	Jamie Stanley	107431219296437	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	14	7	0	0
Tuxy		870667836405958	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	10	5	0	0
Roberts Zīle		508959865842254	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	9	4	0	0
The Bamboo Brush Society		1152885191422950	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	9	4	0	0
Òmnium Cultural		161916260510295	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	9	4	0	0
USR Diaspora	USR Diaspora	1793510380925494	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	8	4	0	0
Inese Ikstena Eiropas Parlamenta deputāta kandidāte		2214339072152669	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	8	4	0	0
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	8	4	0	0
Razvlekalovo		1676086822474842	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	8	4	0	0
Rise for Climate Belgium: Citizen Mobilization to save Humanity		458512257969541	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	6	3	0	0
TRT World		1559901027613381	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	4	2	0	0
Christof Catlin		694707690602444	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	3	1	0	0
Milaap		315603771494	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	3	1	0	0
Lifestyle Living by Kristina Horning, Realtor		620683444647747	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	3	1	0	0
Equitable Futures		426317074840074	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1	0	0	0
The Intercept Brasil		1754956431459064	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1	0	0	0
Roposo - TV By The People		574950735891850	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1	0	0	0
