gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	EL	Greece	8070	1430	87495456	32358270	333441	33927
m	male	EL	Greece	7815	1413	150972049	55122940	564843	53539
u	unknown	EL	Greece	7070	1340	1358471	497641	5235	551
