advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	female	EL	Greece	53	1	6383202	3008979	20740	5128
Kyriakos Mitsotakis		34848567724	Facebook	f	female	EL	Greece	109	1	6352710	2669489	14898	2962
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	f	female	EL	Greece	69	1	5596434	2359442	10706	1761
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	f	female	EL	Greece	131	1	5273644	2123502	19911	3959
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	f	female	EL	Greece	222	1	3963354	1473989	17429	2125
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	f	female	EL	Greece	146	1	3380833	1179039	17155	2725
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	f	female	EL	Greece	43	1	2550707	1029917	6063	824
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	f	female	EL	Greece	190	1	2299765	707126	7553	174
INBOX	New Digital Media	369693523475596	Facebook	f	female	EL	Greece	55	1	2109289	920212	2677	197
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	f	female	EL	Greece	162	1	1698660	495371	15573	92
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	f	female	EL	Greece	58	1	1451368	634257	3316	634
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	f	female	EL	Greece	93	1	1404976	371791	4245	158
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	f	female	EL	Greece	92	1	1307462	414489	5620	406
Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	f	female	EL	Greece	101	1	1289656	510021	5004	377
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	f	female	EL	Greece	6	1	1014143	483342	1350	488
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	f	female	EL	Greece	85	1	1011519	219244	2563	0
Κατερινα Μαρκου	Pulse and Opinion S.A.	832766380123763	Facebook	f	female	EL	Greece	21	1	1010265	414182	1419	130
Παπαστράτος		1925659984382187	Facebook	f	female	EL	Greece	1	1	999511	499756	998	499
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f	female	EL	Greece	47	1	983690	458734	1896	532
Kialo		729627343834501	Facebook	f	female	EL	Greece	350	1	942100	397722	4556	1098
Στέλιος Κυμπουρόπουλος	Στέλιος Κυμπουρόπουλος	323456224972682	Facebook	f	female	EL	Greece	57	1	913330	249051	2915	35
Alex and the jewel		1703830116536718	Facebook	f	female	EL	Greece	15	1	796363	320753	2283	199
European Greens		141366725876424	Facebook	f	female	EL	Greece	26	1	771387	332283	2764	822
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	female	EL	Greece	30	1	764689	292838	1378	256
Μαρία Σπυράκη		657782574275153	Facebook	f	female	EL	Greece	40	1	725557	249149	2055	45
