country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IE	Ireland	f	female	4633	1139	28360001	10684157	188825	27950
IE	Ireland	m	male	4260	1105	26070689	9686165	172824	25546
IE	Ireland	u	unknown	3942	1036	444522	162036	3162	452
