advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	50_100	50 - 100	630	1	10931808	3952547	66009	13090
COALICION CANARIA		AR489541609348661248	Google	50_100	50 - 100	4731	1	9610450	136431	41912	0
AMERISOFT SRL		AR573801583431647232	Google	50_100	50 - 100	172	1	7289342	719366	1523	0
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	50_100	50 - 100	173	1	7020022	696332	1532	0
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	50_100	50 - 100	47	1	5749893	2314966	3636	727
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	50_100	50 - 100	1969	1	4636900	127572	17443	0
mmb media agentur d.o.o.		AR524572049809604608	Google	50_100	50 - 100	1437	1	4268358	182499	12730	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	50_100	50 - 100	846	1	4050422	281722	7494	0
Britain's Future	Britain's Future	1625300137516491	Facebook	50_100	50 - 100	3488	1	3937589	1043933	61973	0
Rädda Barnen		72659261793	Facebook	50_100	50 - 100	235	1	3885095	1076224	30744	6359
ČSSD	ČSSD	111041662264882	Facebook	50_100	50 - 100	181	1	3584392	827880	17579	3516
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	50_100	50 - 100	3712	1	3100515	739174	65953	0
People's Vote UK	People's Vote	748608695327755	Facebook	50_100	50 - 100	2652	1	3001885	712188	47120	0
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	50_100	50 - 100	41	1	2999936	1209982	3172	634
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	50_100	50 - 100	60	1	2631170	1083435	3140	629
Plan International Sverige		382243262003	Facebook	50_100	50 - 100	153	1	2628688	708144	20401	4213
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	50_100	50 - 100	66	1	2573750	936647	3454	692
HLAS		AR312619193323225088	Google	50_100	50 - 100	843	1	2338826	93907	7468	0
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50_100	50 - 100	74	1	2274949	777491	5571	1114
România în primul rând	Future Innovation	770704223323599	Facebook	50_100	50 - 100	36	1	2156867	853767	1884	377
Gazeta Wyborcza		63563473556	Facebook	50_100	50 - 100	83	1	2116901	556696	4810	964
Mediabrands Digital OÜ		AR530356305605427200	Google	50_100	50 - 100	336	1	2094312	166552	2976	0
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	50_100	50 - 100	2159	1	2085670	466365	38360	0
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	50_100	50 - 100	253	1	2040481	460003	7274	2757
Dungeon Defenders		107960282569653	Facebook	50_100	50 - 100	308	1	1967057	805883	8636	1553
