advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AGACAD Tools4Revit		112782242126020	Facebook	w020	Week 20	PL	Poland	1	1	19	0	1	0
Jaroslav Paška	Pašková Juliana	480862355305905	Facebook	w020	Week 20	PL	Poland	8	1	19	4	0	0
Eldritch Foundry		333726374024339	Facebook	w020	Week 20	PL	Poland	1	1	18	3	0	0
EURACTIV		15299247059	Facebook	w020	Week 20	PL	Poland	1	1	18	3	0	0
SPD BRANDENBURG	SPD BRANDENBURG	139470429458087	Facebook	w020	Week 20	PL	Poland	1	1	13	2	0	0
Daniela	Vasatkova Daniela	252673128998993	Facebook	w020	Week 20	PL	Poland	3	1	10	2	0	0
Musicians Against Climate Change		1760259647637432	Facebook	w020	Week 20	PL	Poland	2	1	10	1	0	0
YOGA BURN		146316959083110	Facebook	w020	Week 20	PL	Poland	3	1	10	2	0	0
Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	w020	Week 20	PL	Poland	3	1	9	3	0	0
Open Society Foundations		18983389920	Facebook	w020	Week 20	PL	Poland	3	1	9	1	0	0
Matúš Bystriansky - kandidát na europoslanca	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1650953941825108	Facebook	w020	Week 20	PL	Poland	1	1	7	3	0	0
CDU Berlin	CDU Berlin	126952903983246	Facebook	w020	Week 20	PL	Poland	1	1	6	3	0	0
TOP 09 - Královéhradecký kraj	TOP 09	321213001604	Facebook	w020	Week 20	PL	Poland	2	1	6	2	0	0
Europe Direct Informationszentrum Frankfurt/Oder		491591314194208	Facebook	w020	Week 20	PL	Poland	1	1	6	1	0	0
Piráti ValMez	Česká pirátská strana	1711374649101311	Facebook	w020	Week 20	PL	Poland	2	1	5	2	0	0
Matthias Ecke	SPD Sachsen	751533138525902	Facebook	w020	Week 20	PL	Poland	1	1	5	2	0	0
Пряка демокрация (direct democracy) - правата и как да си ги вземем		240258259381838	Facebook	w020	Week 20	PL	Poland	1	1	5	1	0	0
Radim Sršeň		201535993705342	Facebook	w020	Week 20	PL	Poland	1	1	5	1	0	0
Europe Direct Informationszentrum Dresden		929947773753154	Facebook	w020	Week 20	PL	Poland	1	1	4	0	0	0
TransformingTransport		1635700990066863	Facebook	w020	Week 20	PL	Poland	1	1	4	0	0	0
Robert Hajšel	Krcmarikova Katarina	822009714820627	Facebook	w020	Week 20	PL	Poland	1	1	3	1	0	0
MUDr. Gabriela Pecková - TOP 09	Vondryska Jan	113755299053	Facebook	w020	Week 20	PL	Poland	1	1	3	0	0	0
Alpine Garden Society		239451772739772	Facebook	w020	Week 20	PL	Poland	1	1	3	1	0	0
Daniel C Juster Official		199307546902179	Facebook	w020	Week 20	PL	Poland	1	1	3	0	0	0
Dr. Mohamed Elhachmi Hamdi د. محمد الهاشمي الحامدي		482273315273345	Facebook	w020	Week 20	PL	Poland	2	1	3	1	0	0
JUDr. Miroslav Radačovský, ex sudca - kandidát na poslanca EP	Radačovský Michal	730919327293761	Facebook	w020	Week 20	PL	Poland	1	1	2	0	0	0
EU Internet Safety		452725722160880	Facebook	w020	Week 20	PL	Poland	1	1	2	0	0	0
Daniel Herman	Vasek Jiri	378072105614553	Facebook	w020	Week 20	PL	Poland	1	1	1	0	0	0
Radek Hlaváček	Hlavacek Radek	294674561247936	Facebook	w020	Week 20	PL	Poland	1	1	1	0	0	0
Human Rights Tattoo		245416135560300	Facebook	w020	Week 20	PL	Poland	1	1	1	0	0	0
Routledge Politics, IR and Strategic Studies		59321208735	Facebook	w020	Week 20	PL	Poland	1	1	1	0	0	0
Civilekonomerna		256141831076073	Facebook	w020	Week 20	PL	Poland	1	1	1	0	0	0
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
Lucia Rennerová - kandidátka na europoslankyňu	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	385980928867138	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
مفوضية اللاجئين		188842724507690	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
Shurat HaDin - Israel Law Center		709491732434343	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
Lufthansa		1874718159461760	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
Klang der Solidarität		385076005313967	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
AlternaWeb		1928282787425397	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
Ing. Zdena Patakyová kandidát na europoslanca č. 7 PH Hlas ľudu		2129719210624822	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
Smart Water Magazine		634705100258374	Facebook	w020	Week 20	PL	Poland	1	1	0	0	0	0
