recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-16	2019-05-16	SK	Slovakia	2341	156	4295404	1377436	33861	1972
rd2	Last 2 days	2019-05-15	2019-05-16	SK	Slovakia	2456	168	9286435	2943257	72823	4376
rd3	Last 3 days	2019-05-14	2019-05-16	SK	Slovakia	2598	174	15010580	4805561	114430	7453
rd4	Last 4 days	2019-05-13	2019-05-16	SK	Slovakia	2698	181	20785222	6711601	152403	11348
rd5	Last 5 days	2019-05-12	2019-05-16	SK	Slovakia	2826	188	26865942	8893008	192110	16518
rd6	Last 6 days	2019-05-11	2019-05-16	SK	Slovakia	2948	196	32485407	10960615	228684	21825
rw1	Last week	2019-05-10	2019-05-16	SK	Slovakia	3009	202	37554734	12765343	262843	26824
rw2	Last 2 weeks	2019-05-03	2019-05-16	SK	Slovakia	3597	238	62388560	21380731	437577	46734
rw3	Last 3 weeks	2019-04-26	2019-05-16	SK	Slovakia	4483	295	85930166	29572200	586517	60633
rw4	Last 4 weeks	2019-04-19	2019-05-16	SK	Slovakia	4781	346	93527400	32030636	630691	65086
rm1	Last month	2019-04-17	2019-05-16	SK	Slovakia	4832	358	95013589	32516802	639531	65890
rm2	Last 2 months	2019-03-18	2019-05-16	SK	Slovakia	6171	689	114031487	39356973	741205	77808
rm3	Last 3 months	2019-02-16	2019-05-16	SK	Slovakia	6615	759	119717356	41414140	769519	80377
rm6	Last 6 months	2019-01-01	2019-05-16	SK	Slovakia	6814	789	122095408	42273557	780436	81190
