day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d137	2019-05-17	SE	Sweden	2279	382	8520310	2763718	73640	18451
d136	2019-05-16	SE	Sweden	2471	398	9940845	3266500	92590	23088
d135	2019-05-15	SE	Sweden	2309	381	8956501	2962749	80584	20361
d134	2019-05-14	SE	Sweden	2166	346	7912607	2642642	76616	18854
d133	2019-05-13	SE	Sweden	1951	337	6518768	2164460	64363	15362
d132	2019-05-12	SE	Sweden	1747	329	5182608	1748597	51456	12757
d131	2019-05-11	SE	Sweden	1745	332	4701223	1545762	43241	10915
d130	2019-05-10	SE	Sweden	1788	327	6035780	2054642	57972	13957
d129	2019-05-09	SE	Sweden	1679	302	5710935	1929017	56785	16413
d128	2019-05-08	SE	Sweden	1523	282	4769339	1627946	47729	10981
d127	2019-05-07	SE	Sweden	1416	253	3532089	1178085	29303	6939
d126	2019-05-06	SE	Sweden	1296	252	3026827	949895	23371	5799
d125	2019-05-05	SE	Sweden	1230	250	3267777	1098734	25848	6181
d124	2019-05-04	SE	Sweden	1170	249	3139261	1051554	24318	5801
d123	2019-05-03	SE	Sweden	1238	261	3794170	1293993	25852	6572
d122	2019-05-02	SE	Sweden	1014	249	1983978	683079	14839	3604
d121	2019-05-01	SE	Sweden	893	255	1422808	444985	11902	3136
d120	2019-04-30	SE	Sweden	1117	276	1739195	546630	14170	3671
d119	2019-04-29	SE	Sweden	1127	265	1672309	522047	13405	3523
d118	2019-04-28	SE	Sweden	1020	252	1250983	426829	10549	2867
d117	2019-04-27	SE	Sweden	990	244	1110602	378329	9311	2409
d116	2019-04-26	SE	Sweden	1055	256	1179274	389094	9670	2467
d115	2019-04-25	SE	Sweden	946	255	833493	279342	7756	1937
d114	2019-04-24	SE	Sweden	874	241	669665	221677	5816	1503
d113	2019-04-23	SE	Sweden	887	250	1004541	354541	6764	1660
d112	2019-04-22	SE	Sweden	856	248	590682	211086	4469	1203
d111	2019-04-21	SE	Sweden	893	258	826920	297144	6251	1717
d110	2019-04-20	SE	Sweden	895	268	954336	351291	6836	1929
d109	2019-04-19	SE	Sweden	922	277	846691	300273	5831	1524
d108	2019-04-18	SE	Sweden	938	289	811572	284312	5591	1464
