week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-16	IT	Italy	3848	755	67726083	24404509	354710	36077
w019	Week 19	2019-05-06	2019-05-12	IT	Italy	4223	864	86866948	31610893	437591	52633
w018	Week 18	2019-04-29	2019-05-05	IT	Italy	3050	876	51113845	18618153	264393	32197
w017	Week 17	2019-04-22	2019-04-28	IT	Italy	2053	802	25952298	9696143	114175	14589
w016	Week 16	2019-04-15	2019-04-21	IT	Italy	2073	1004	17293575	6105653	104588	8752
w015	Week 15	2019-04-08	2019-04-14	IT	Italy	3025	1480	34401081	12282544	195994	18643
w014	Week 14	2019-04-01	2019-04-07	IT	Italy	2678	1385	30267596	10451719	161228	14465
w013	Week 13	2019-03-25	2019-03-31	IT	Italy	2360	1191	31573527	11713137	154402	14820
w012	Week 12	2019-03-18	2019-03-24	IT	Italy	2342	1190	29003944	10268056	147565	12290
w011	Week 11	2019-03-11	2019-03-17	IT	Italy	1959	1078	25749680	9375914	138870	11428
w010	Week 10	2019-03-04	2019-03-10	IT	Italy	1452	804	21177515	7425131	100785	8316
w009	Week 9	2019-02-25	2019-03-03	IT	Italy	777	405	14130708	5444667	66364	8498
w008	Week 8	2019-02-18	2019-02-24	IT	Italy	412	180	5369956	2162881	26396	3666
w007	Week 7	2019-02-11	2019-02-17	IT	Italy	403	152	4888817	1866023	35987	4215
w006	Week 6	2019-02-04	2019-02-10	IT	Italy	310	131	4031661	1435588	24459	3120
w005	Week 5	2019-01-28	2019-02-03	IT	Italy	278	113	1528418	536800	8694	529
w004	Week 4	2019-01-21	2019-01-27	IT	Italy	306	101	3256898	1243174	17607	1405
w003	Week 3	2019-01-14	2019-01-20	IT	Italy	271	95	2486671	921982	18294	2020
w002	Week 2	2019-01-07	2019-01-13	IT	Italy	267	84	2733826	863798	19803	1707
w001	Week 1	2019-01-01	2019-01-06	IT	Italy	221	71	2218314	774917	13235	970
