gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	UK	United Kingdom	7371	409	91162248	33270135	1171385	171518
m	male	UK	United Kingdom	7130	399	67631177	23884050	983526	132678
u	unknown	UK	United Kingdom	4703	385	1411843	490902	21649	2848
