advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Harald Vilimsky	FPÖ	547597092025909	Facebook	100k_200k	100k - 200k	AT	Austria	13	1	2599981	1299997	14486	4999
HC Strache	FPÖ	74865038590	Facebook	100k_200k	100k - 200k	AT	Austria	13	1	2599981	1299997	19986	6699
SPÖ	SPÖ	77393060080	Facebook	100k_200k	100k - 200k	AT	Austria	9	1	1799426	899717	6488	2499
kontrast.at	kontrast.at	1079650008770485	Facebook	100k_200k	100k - 200k	AT	Austria	6	1	1199993	599999	5493	2599
Europäisches Parlament Österreich		124468054313069	Facebook	100k_200k	100k - 200k	AT	Austria	6	1	1199983	599994	4493	1799
Andreas Schieder	SPÖ	290881691011354	Facebook	100k_200k	100k - 200k	AT	Austria	5	1	999994	499999	8994	2999
Claudia Gamon	NEOS	447992848717452	Facebook	100k_200k	100k - 200k	AT	Austria	4	1	799996	400000	2496	800
Johann Gudenus		104145976305577	Facebook	100k_200k	100k - 200k	AT	Austria	4	1	799995	399999	2495	799
European Parliament		178362315106	Facebook	100k_200k	100k - 200k	AT	Austria	10	1	600028	300015	5996	1199
Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	100k_200k	100k - 200k	AT	Austria	3	1	599997	300000	1997	700
Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	100k_200k	100k - 200k	AT	Austria	3	1	599997	299999	1097	200
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	100k_200k	100k - 200k	AT	Austria	3	1	599987	299995	1496	299
SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	100k_200k	100k - 200k	AT	Austria	2	1	399998	200000	1498	600
Kialo		729627343834501	Facebook	100k_200k	100k - 200k	AT	Austria	38	1	266021	133011	1433	583
Klang der Solidarität		385076005313967	Facebook	100k_200k	100k - 200k	AT	Austria	9	1	219102	109551	412	104
Freiheitliche Arbeitnehmer Oberösterreich	Freiheitliche Arbeitnehmer Oberösterreich	346842098763288	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	199999	100000	999	500
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	199999	100000	4998	1000
Zalando		451619258340545	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	199999	100000	999	500
Plan International Österreich		115130990779	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	199999	100000	999	500
Politaia.org		617383885287512	Facebook	100k_200k	100k - 200k	AT	Austria	2	1	84720	42360	211	42
Tropen Verlag		156005111145974	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	74918	37459	186	37
Biovegan		352506818255660	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	72382	36191	180	36
eToro		105255116217636	Facebook	100k_200k	100k - 200k	AT	Austria	3	1	61408	30704	1366	273
FXCM Deutschland		135468543147955	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	55569	27784	1236	247
TIDAL		898781006883472	Facebook	100k_200k	100k - 200k	AT	Austria	1	1	38578	19289	96	19
