advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	f65_	female (65+)	3885	1	11157216	3283503	132873	18752
Ciudadanos	Ciudadanos	74078667754	Facebook	f65_	female (65+)	4169	1	4645309	1436958	45500	3631
Partido Popular	Partido Popular	72249031214	Facebook	f65_	female (65+)	1362	1	4187923	1222137	54712	2051
People's Vote UK	People's Vote	748608695327755	Facebook	f65_	female (65+)	3162	1	4062925	1289828	65709	10810
38 Degrees	38 Degrees	200006375787	Facebook	f65_	female (65+)	650	1	3599143	1294198	25010	3440
Podemos	Unidas Podemos	269212336568846	Facebook	f65_	female (65+)	187	1	3263950	1475426	21940	5736
Conservatives	The Conservative Party	8807334278	Facebook	f65_	female (65+)	1482	1	2964191	1116600	40239	5524
European Parliament		178362315106	Facebook	f65_	female (65+)	908	1	2935927	1265101	17325	3737
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f65_	female (65+)	2008	1	2852688	876718	57942	5711
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f65_	female (65+)	379	1	2781829	1150836	13228	2473
The Labour Party	The Labour Party	25749647410	Facebook	f65_	female (65+)	617	1	2462904	986915	22764	5309
Best For Britain	Best for Britain	1863944713844924	Facebook	f65_	female (65+)	742	1	2397264	991330	35968	8072
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	f65_	female (65+)	64	1	2389412	1113633	5648	2514
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f65_	female (65+)	88	1	2374619	1078078	5606	1688
Fidesz	Fidesz	9844779306	Facebook	f65_	female (65+)	93	1	2282576	1089941	7883	3877
We are the 52%	We are the 52%	466744973727718	Facebook	f65_	female (65+)	278	1	2217271	785181	7286	958
Vattenfall Sverige		608975645850217	Facebook	f65_	female (65+)	27	1	2204972	993791	26534	7289
Sosialidemokraatit SDP		108945982480217	Facebook	f65_	female (65+)	239	1	2075767	798696	13542	2821
SPD	SPD	47930567748	Facebook	f65_	female (65+)	4519	1	2053589	449581	66343	1725
Médecins du Monde France		265420476920	Facebook	f65_	female (65+)	1849	1	1906360	579134	35307	2801
Save the Children Italia		46590675335	Facebook	f65_	female (65+)	47	1	1742755	806818	8904	2160
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f65_	female (65+)	2214	1	1647587	512391	27242	2275
The Brexit Party	The Brexit Party	230416667843105	Facebook	f65_	female (65+)	107	1	1628849	766872	24387	7046
WeWorld Onlus		299584710061488	Facebook	f65_	female (65+)	314	1	1585547	629142	7605	892
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f65_	female (65+)	130	1	1551132	636072	3001	795
