audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	180123	24343	747398152	279161035	4918458	742758
m18_24	male (18-24)	162019	22549	641731963	241666753	3944168	579900
f18_24	female (18-24)	163035	22845	587134414	222547556	3627984	539057
f25_34	female (25-34)	183273	24753	576395230	215472899	4029735	624164
m35_44	male (35-44)	182426	24132	555838366	203795775	3885246	579758
f35_44	female (35-44)	185927	24581	472391763	173199481	3563636	541676
m45_54	male (45-54)	177710	23496	464803758	165699614	3562248	513936
f45_54	female (45-54)	182841	23952	433293978	154936526	3485169	505004
f55_64	female (55-64)	174531	22710	380846384	133148948	3176709	433241
m55_64	male (55-64)	169129	22364	327312655	113081632	2719654	363242
f65_	female (65+)	158149	20712	276633703	94889902	2490096	348270
m65_	male (65+)	154523	20425	229198382	78097370	2012960	274149
f13_17	female (13-17)	21672	5093	54524821	20161795	233551	22063
m13_17	male (13-17)	22146	5056	46135999	17134520	220336	20496
u35_44	unknown (35-44)	126298	19833	10607942	3797011	89651	13892
u25_34	unknown (25-34)	112294	18677	7703646	2789035	61188	9382
u45_54	unknown (45-54)	116245	18568	6709573	2325571	68615	10288
u55_64	unknown (55-64)	98076	16063	4232703	1420190	48536	7042
u65_	unknown (65+)	91183	15032	4071054	1361020	46854	6717
u18_24	unknown (18-24)	76704	14207	2584330	920687	22127	3060
u13_17	unknown (13-17)	8732	2874	216815	75644	1330	107
