country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
UK	United Kingdom	54802	5221	894537056	304993093	11089611	1501977
ES	Spain	24706	2085	559107760	213778577	4026807	526220
IT	Italy	17618	4862	431949600	156764424	2247764	239656
DE	Germany	35911	4213	393942751	123661138	4450555	392910
BE	Belgium	11901	2167	325540540	123866621	2243232	389166
RO	Romania	5831	1276	297647210	124105380	627101	137907
__	(Non-EU data in the Facebook Ad Library)	21661	5763	244320839	98166292	869844	139920
FR	France	12261	3153	233616570	90493693	1866115	315092
EL	Greece	7809	1402	212939800	78075950	809088	76757
HU	Hungary	5527	1580	174322970	71517726	415785	138217
