country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	w019	Week 19	2019-05-06	2019-05-12	1062	287	13668039	5010896	78094	13964
FR	France	w018	Week 18	2019-04-29	2019-05-05	1285	357	16159676	6865560	97913	19100
FR	France	w017	Week 17	2019-04-22	2019-04-28	1494	424	10215213	4076772	63921	10492
FR	France	w016	Week 16	2019-04-15	2019-04-21	1809	618	14123667	5717732	102421	14725
FR	France	w015	Week 15	2019-04-08	2019-04-14	2566	1000	22644577	8759890	169301	30288
FR	France	w014	Week 14	2019-04-01	2019-04-07	2607	1026	20911572	7858566	211587	29039
FR	France	w013	Week 13	2019-03-25	2019-03-31	2138	877	20464519	7446935	188185	30506
FR	France	w012	Week 12	2019-03-18	2019-03-24	2066	783	22369897	8563620	189146	24772
FR	France	w011	Week 11	2019-03-11	2019-03-17	1563	554	21743406	8783988	181360	29627
FR	France	w010	Week 10	2019-03-04	2019-03-10	1203	436	15355751	5942435	134684	24596
FR	France	w009	Week 9	2019-02-25	2019-03-03	494	178	7474493	3021224	61702	11074
FR	France	w008	Week 8	2019-02-18	2019-02-24	332	137	2437286	772485	14272	1986
FR	France	w007	Week 7	2019-02-11	2019-02-17	258	118	2687988	966210	23743	4874
FR	France	w006	Week 6	2019-02-04	2019-02-10	245	92	1353118	404014	10481	1125
FR	France	w005	Week 5	2019-01-28	2019-02-03	257	85	4229986	1767309	23888	4257
FR	France	w004	Week 4	2019-01-21	2019-01-27	191	69	3033144	1319915	16790	3453
FR	France	w003	Week 3	2019-01-14	2019-01-20	206	74	1705750	604161	12645	1655
FR	France	w002	Week 2	2019-01-07	2019-01-13	169	65	1847908	620034	16940	3274
FR	France	w001	Week 1	2019-01-01	2019-01-06	128	50	2470432	987199	16171	3277
