advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Les Encres et Ondes itinérantes		201557767373382	Facebook	d078	2019-03-19	FR	France	1	1	89	0	8	0
Vaad Harabanim		391190758024050	Facebook	d078	2019-03-19	FR	France	1	1	88	0	2	0
Stonewall		18933990398	Facebook	d078	2019-03-19	FR	France	1	1	87	17	0	0
makesense		279050068792	Facebook	d078	2019-03-19	FR	France	1	1	79	15	0	0
Les locataires de la planète Terre		655831381220888	Facebook	d078	2019-03-19	FR	France	1	1	79	0	7	0
Animal Matters	Animal Matters	1439364926329185	Facebook	d078	2019-03-19	FR	France	1	1	77	15	0	0
StefanoGemma		1927022710654261	Facebook	d078	2019-03-19	FR	France	1	1	74	14	1	0
Coup de pouce pour la planète - Un guide vers une nouvelle vision du monde		363925880862431	Facebook	d078	2019-03-19	FR	France	1	1	72	14	0	0
EWAG Live - Média positif des Outre-mer		205223110029331	Facebook	d078	2019-03-19	FR	France	1	1	69	13	0	0
Bouzidi Mourad		1840451052913778	Facebook	d078	2019-03-19	FR	France	1	1	62	24	0	0
Raseef22  رصيفــ22		359500190793796	Facebook	d078	2019-03-19	FR	France	1	1	61	30	0	0
NUNYO & COMPANY	Nunyo Demasio	221364705166573	Facebook	d078	2019-03-19	FR	France	1	1	59	29	0	0
AlternaWeb		1928282787425397	Facebook	d078	2019-03-19	FR	France	1	1	45	9	0	0
Réseau Experts Alya		435839773239739	Facebook	d078	2019-03-19	FR	France	1	1	41	0	1	0
Watch The Med - Alarmphone		1525906057683632	Facebook	d078	2019-03-19	FR	France	1	1	41	8	0	0
CG Finance		1805445716407633	Facebook	d078	2019-03-19	FR	France	1	1	38	0	3	0
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	d078	2019-03-19	FR	France	2	1	30	15	0	0
Salon International De La Femme Noire - International Black Women's Expo		1737025943285979	Facebook	d078	2019-03-19	FR	France	2	1	30	5	0	0
NATO Strategic Communications Centre of Excellence		1456516717932002	Facebook	d078	2019-03-19	FR	France	1	1	28	14	0	0
Soviet Visuals		1160495674016675	Facebook	d078	2019-03-19	FR	France	4	1	27	5	0	0
Rosa-Luxemburg-Stiftung / English		224597158386607	Facebook	d078	2019-03-19	FR	France	1	1	26	13	0	0
Onepieceaday		1639649866064931	Facebook	d078	2019-03-19	FR	France	1	1	25	5	0	0
Liberalist International Association		356741228182930	Facebook	d078	2019-03-19	FR	France	1	1	24	0	2	0
Tchadinfos.com		244684305625883	Facebook	d078	2019-03-19	FR	France	1	1	24	4	0	0
PositiveLuxury		174227905981175	Facebook	d078	2019-03-19	FR	France	1	1	22	11	0	0
Stanford Graduate School of Business		208357009185713	Facebook	d078	2019-03-19	FR	France	4	1	21	4	0	0
Exponea		437489159794764	Facebook	d078	2019-03-19	FR	France	6	1	20	0	2	0
Strive Easy Store		2255030711173617	Facebook	d078	2019-03-19	FR	France	3	1	20	2	1	0
Counter Balance: Challenging Public Investment Banks		123860337211	Facebook	d078	2019-03-19	FR	France	1	1	16	3	0	0
The Philadelphia Trumpet		119214224885253	Facebook	d078	2019-03-19	FR	France	2	1	15	3	0	0
Primagaz France		159713540726473	Facebook	d078	2019-03-19	FR	France	1	1	15	0	1	0
A Solution to Plastic Pollution - First International Online Summit		1098001547034272	Facebook	d078	2019-03-19	FR	France	3	1	14	3	0	0
The Intercept Brasil		1754956431459064	Facebook	d078	2019-03-19	FR	France	1	1	14	2	0	0
Sustainability Times		214303005827359	Facebook	d078	2019-03-19	FR	France	1	1	13	6	0	0
링글 Ringle		839106849540081	Facebook	d078	2019-03-19	FR	France	3	1	13	6	0	0
Andrea Manfrin		297770447221274	Facebook	d078	2019-03-19	FR	France	1	1	12	6	0	0
Portugal design		633883560373720	Facebook	d078	2019-03-19	FR	France	2	1	11	0	1	0
Wildlife Angel		1626338680929107	Facebook	d078	2019-03-19	FR	France	1	1	11	0	1	0
Talking Europe		316028505828375	Facebook	d078	2019-03-19	FR	France	1	1	10	4	0	0
Radio Saiuz		292188880792820	Facebook	d078	2019-03-19	FR	France	1	1	10	2	0	0
Neon Joyride		462349787632320	Facebook	d078	2019-03-19	FR	France	2	1	10	2	0	0
Il Primato Nazionale	Il Primato Nazionale	587689174620699	Facebook	d078	2019-03-19	FR	France	1	1	8	4	0	0
Volt Europa		1739550549695812	Facebook	d078	2019-03-19	FR	France	1	1	8	4	0	0
SaphirNews		48136790979	Facebook	d078	2019-03-19	FR	France	1	1	8	4	0	0
Chug Bottles		1781974005205686	Facebook	d078	2019-03-19	FR	France	1	1	8	4	0	0
Shams - Pour la dépénalisation de l'homosexualité en Tunisie		309323135918006	Facebook	d078	2019-03-19	FR	France	3	1	7	1	0	0
Young Tragedy Clothing		299822647480045	Facebook	d078	2019-03-19	FR	France	1	1	7	3	0	0
Cristina Tavío Ascanio		78957157680	Facebook	d078	2019-03-19	FR	France	1	1	7	1	0	0
Matt Wilson		247888188644456	Facebook	d078	2019-03-19	FR	France	6	1	7	2	0	0
EURACTIV		15299247059	Facebook	d078	2019-03-19	FR	France	3	1	6	1	0	0
YOGA BURN		146316959083110	Facebook	d078	2019-03-19	FR	France	3	1	6	1	0	0
We Amplify		186008238755917	Facebook	d078	2019-03-19	FR	France	2	1	5	1	0	0
WWF-Brasil		7970426802	Facebook	d078	2019-03-19	FR	France	4	1	5	1	0	0
