country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	11467	1452	160031429	55175029	1533602	210315
BE	Belgium	11901	2167	325540540	123866621	2243232	389166
BG	Bulgaria	2742	752	28227571	10554554	101700	12171
HR	Croatia	2921	752	40202774	14690262	138789	14786
CY	Cyprus	1863	466	23371151	7694991	101889	8748
CZ	Czechia	6468	979	80584196	27896402	308310	75761
DK	Denmark	9513	1484	101853515	31488150	956199	226301
EE	Estonia	2253	543	17019647	6097114	95857	12151
FI	Finland	5857	1203	71722079	24988938	722270	111581
FR	France	12261	3153	233616570	90493693	1866115	315092
DE	Germany	35911	4213	393942751	123661138	4450555	392910
EL	Greece	7809	1402	212939800	78075950	809088	76757
HU	Hungary	5527	1580	174322970	71517726	415785	138217
IE	Ireland	4811	1183	54875210	20532357	364812	53949
IT	Italy	17618	4862	431949600	156764424	2247764	239656
LV	Latvia	2335	602	17657810	6099516	85345	9440
LT	Lithuania	2782	662	39910349	14984805	151909	20056
LU	Luxembourg	3213	746	17110077	5669763	96059	7407
MT	Malta	4358	790	44760819	15219074	253962	19296
NL	Netherlands	6925	1580	115893042	45804021	950394	181768
PL	Poland	7710	1707	158807576	58439560	456497	86593
PT	Portugal	4469	1191	52723247	21223643	178636	27945
RO	Romania	5831	1276	297647210	124105380	627101	137907
SK	Slovakia	6442	825	100447327	34197900	658956	63205
SI	Slovenia	2613	643	18612536	6633362	99246	11525
ES	Spain	24706	2085	559107760	213778577	4026807	526220
SE	Sweden	10454	1895	166840912	56217654	1421479	351560
UK	United Kingdom	54802	5221	894537056	304993093	11089611	1501977
