country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DK	Denmark	w019	Week 19	3335	405	34654830	10769085	329454	81006
DK	Denmark	w018	Week 18	2664	388	14254819	4370445	124508	30129
DK	Denmark	w017	Week 17	2236	383	10156001	3131304	89423	22503
DK	Denmark	w016	Week 16	1887	388	7342833	2338664	73922	18594
DK	Denmark	w015	Week 15	1796	487	5255551	1687825	47919	10572
DK	Denmark	w014	Week 14	1273	430	4211661	1222517	49136	10436
DK	Denmark	w013	Week 13	936	340	4017014	1304711	42747	9612
DK	Denmark	w012	Week 12	842	323	3662518	1153469	38688	8372
DK	Denmark	w011	Week 11	724	284	3636970	1146153	34403	7560
DK	Denmark	w010	Week 10	749	276	4420859	1348314	41237	8570
