advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	1k_5k	1k - 5k	DE	Germany	5218	1	26084781	5217999	516581	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	1k_5k	1k - 5k	DE	Germany	1669	1	8342922	1668918	165622	99
SPD	SPD	47930567748	Facebook	1k_5k	1k - 5k	DE	Germany	1112	1	5558888	1112000	110488	100
FDP	FDP	21289227249	Facebook	1k_5k	1k - 5k	DE	Germany	710	1	3549285	709999	70289	0
DIE LINKE	DIE LINKE	47694585682	Facebook	1k_5k	1k - 5k	DE	Germany	345	1	1724583	344985	34153	0
Katarina Barley	SPD	1522202731410785	Facebook	1k_5k	1k - 5k	DE	Germany	230	1	1149769	229999	23169	99
Die Offene Gesellschaft	die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift	912255502235222	Facebook	1k_5k	1k - 5k	DE	Germany	125	1	624874	124999	12374	0
SPD Land Bremen	SPD Land Bremen 	524965010906886	Facebook	1k_5k	1k - 5k	DE	Germany	76	1	379924	76000	7524	0
FDP Bremen	FDP Bremen	152934608113175	Facebook	1k_5k	1k - 5k	DE	Germany	61	1	304939	60999	6039	0
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	1k_5k	1k - 5k	DE	Germany	56	1	279877	55986	5542	0
Grüner Fisher Investments	Grüner Fisher Investments	138832469593845	Facebook	1k_5k	1k - 5k	DE	Germany	37	1	184962	36999	7262	900
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	1k_5k	1k - 5k	DE	Germany	36	1	179964	36000	3564	0
SPD Dresden	SPD Dresden	57318667478	Facebook	1k_5k	1k - 5k	DE	Germany	28	1	139972	28000	2772	0
Nicola Beer	FDP	206866712830769	Facebook	1k_5k	1k - 5k	DE	Germany	27	1	134973	27000	3073	100
SPD-Fraktion im Sächsischen Landtag	SPD-Fraktion im Sächsischen Landtag	316067627870	Facebook	1k_5k	1k - 5k	DE	Germany	22	1	109978	22000	2178	0
DIE LINKE. Dresden	DIE LINKE. Dresden	101065286702367	Facebook	1k_5k	1k - 5k	DE	Germany	21	1	104979	21000	2079	0
FDP Fraktion Bundestag	Fraktion der Freien Demokraten	341486659645594	Facebook	1k_5k	1k - 5k	DE	Germany	20	1	99980	20000	1980	0
