recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-19	2019-05-19	DE	Germany	7383	231	10249147	2201191	319961	2988
rd2	Last 2 days	2019-05-18	2019-05-19	DE	Germany	7501	234	19421463	4258877	573307	6276
rd3	Last 3 days	2019-05-17	2019-05-19	DE	Germany	7544	239	25992003	5569895	773506	7464
rd4	Last 4 days	2019-05-16	2019-05-19	DE	Germany	7544	239	26008370	5573768	773670	7484
rd5	Last 5 days	2019-05-15	2019-05-19	DE	Germany	7544	239	26024736	5577642	773834	7504
rd6	Last 6 days	2019-05-14	2019-05-19	DE	Germany	7544	239	26027103	5578115	773839	7504
rw1	Last week	2019-05-13	2019-05-19	DE	Germany	7544	239	26029471	5578589	773843	7504
rw2	Last 2 weeks	2019-05-06	2019-05-19	DE	Germany	7544	239	26046042	5581903	773876	7504
rw3	Last 3 weeks	2019-04-29	2019-05-19	DE	Germany	7544	239	26062613	5585217	773909	7504
rw4	Last 4 weeks	2019-04-22	2019-05-19	DE	Germany	7544	239	26062613	5585217	773909	7504
rm1	Last month	2019-04-20	2019-05-19	DE	Germany	7544	239	26062613	5585217	773909	7504
rm2	Last 2 months	2019-03-21	2019-05-19	DE	Germany	7544	239	26062613	5585217	773909	7504
rm3	Last 3 months	2019-02-19	2019-05-19	DE	Germany	7544	239	26062613	5585217	773909	7504
rm6	Last 6 months	2019-01-01	2019-05-19	DE	Germany	7544	239	26062613	5585217	773909	7504
