advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Zoran Bahtijarević	Vlahovic Mario	2195720960680577	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	2	1	260	59	0	0
HNS Metković	Hrvatska narodna stranka - liberalni demokrati (HNS)	339522549467106	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	247	123	2	0
European Commission	European Commission	107898832590939	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	22	1	241	116	0	0
Sanja Radolović	Radolovic Sanja	508755779649081	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	6	1	189	52	3	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	15	1	112	47	0	0
Rainbow Rose	Rainbow Rose	572653266147067	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	111	55	1	0
Diana Topčić-Rosenberg	TOPCIC-ROSENBERG DIANA	1702271996513206	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	3	1	108	38	2	0
Zelena lista		157025101623973	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	2	1	103	41	1	0
HSS Hrvatska	Vlahovic Mario	236043376446622	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	61	30	0	0
European Free Alliance	European Free Alliance	46708306425	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	48	24	0	0
Željka Markić		210218862695602	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	48	9	0	0
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	3	1	41	0	3	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	9	1	38	14	0	0
Gordan Maras		451079008266520	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	38	7	0	0
Informativno Dokumentacijski Centar Banije I Korduna		1902779853072038	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	23	4	0	0
Kulturpunkt.hr		89410579392	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	18	0	1	0
Radnička Fronta		770459529655215	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	14	0	1	0
Davor Nađi	Nadi Davor	1640498249359280	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	2	1	13	5	0	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	3	1	9	4	0	0
Telegram.hr		688325737947866	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	5	0	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	5	1	3	1	0	0
Slobodni Infocentar Zagreb		1741621996163657	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	2	0	0	0
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	3	1	1	0	0	0
Hrvatske vijesti		286736758747850	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	1	0	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
Big News Buzz		125179374733697	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
Europe Thinx		335839580440114	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
CRIF		395919323779707	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
ETUC		129041250601685	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
ITUC		20556338116	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	2	1	0	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
Eurozine		115579498521257	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
Ne u moje ime		138418753446889	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
Danko Švorinić		1867610616838363	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	0	0	0	0
