advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPD	SPD	47930567748	Facebook	f	Facebook	DE	Germany	9594	1	58740872	16829741	1188207	64487
FDP	FDP	21289227249	Facebook	f	Facebook	DE	Germany	2925	1	39867181	12120075	362471	19897
CDU	CDU	78502295414	Facebook	f	Facebook	DE	Germany	3170	1	38647830	9275000	347030	8300
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f	Facebook	DE	Germany	1618	1	22824780	7248061	257245	25995
European Parliament		178362315106	Facebook	f	Facebook	DE	Germany	151	1	20186592	9129379	149527	44044
Greenpeace Deutschland		22541752487	Facebook	f	Facebook	DE	Germany	537	1	17732238	6455855	106477	15633
Kialo		729627343834501	Facebook	f	Facebook	DE	Germany	565	1	11870601	3628174	84243	17942
DIE LINKE	DIE LINKE	47694585682	Facebook	f	Facebook	DE	Germany	331	1	10422576	3734240	49934	5394
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	f	Facebook	DE	Germany	345	1	8718627	2736990	54454	4899
Katarina Barley	SPD	1522202731410785	Facebook	f	Facebook	DE	Germany	644	1	8233742	2241436	82147	4598
Campact e.V.	Campact e.V.	82734241364	Facebook	f	Facebook	DE	Germany	46	1	7289605	3116363	42848	10098
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	f	Facebook	DE	Germany	763	1	6395795	1539907	84334	2199
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	f	Facebook	DE	Germany	11	1	5599989	2600000	29989	7200
Covestro		150793518281117	Facebook	f	Facebook	DE	Germany	20	1	5499180	2369058	14844	4671
European Greens		141366725876424	Facebook	f	Facebook	DE	Germany	63	1	5493153	2465855	41915	11010
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	f	Facebook	DE	Germany	80	1	4158931	1566239	13925	1799
Klang der Solidarität		385076005313967	Facebook	f	Facebook	DE	Germany	86	1	3610235	1548884	8078	1052
MDM Deutsche Münze		126866220711392	Facebook	f	Facebook	DE	Germany	47	1	3549871	1365980	13951	2099
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	f	Facebook	DE	Germany	794	1	3513092	1084988	99999	8199
Grüner Fisher Investments	Grüner Fisher Investments	138832469593845	Facebook	f	Facebook	DE	Germany	305	1	3122694	876999	126695	26000
IG Metall	IG Metall	249296718436	Facebook	f	Facebook	DE	Germany	22	1	3069977	1429999	14477	3400
Bundesregierung		768905426534529	Facebook	f	Facebook	DE	Germany	5	1	2999957	1299984	24994	4999
Entega		198244400189055	Facebook	f	Facebook	DE	Germany	134	1	2963813	969487	56133	11795
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	f	Facebook	DE	Germany	45	1	2927987	1162065	15035	2658
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	f	Facebook	DE	Germany	1053	1	2882975	528767	104934	200
