day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d139	2019-05-19	14189	1823	54463285	16658658	720957	37352
d138	2019-05-18	13352	1711	62137093	20352824	673510	47403
d137	2019-05-17	9044	899	30709465	9694824	371527	22778
d136	2019-05-16	54	10	380475	149658	2313	462
d135	2019-05-15	45	6	142145	31491	1727	318
d134	2019-05-14	47	5	138145	31216	1585	341
d133	2019-05-13	90	8	3688217	367823	50374	1192
d132	2019-05-12	9063	110	171614967	14646138	873733	21118
d131	2019-05-11	11611	111	177279200	15154560	924065	25664
d130	2019-05-10	9477	110	159166247	14506159	849428	24902
d129	2019-05-09	9106	106	133202786	12110062	774655	23263
d128	2019-05-08	8483	99	132729480	12374124	728633	22389
d127	2019-05-07	8497	95	119699283	11006353	679219	21079
d126	2019-05-06	7600	81	97949775	9001965	486869	17041
d125	2019-05-05	7113	77	82140978	7595547	399995	15297
d124	2019-05-04	7364	76	85357545	7747273	405998	15372
d123	2019-05-03	4696	73	75288737	7166243	391930	11974
d122	2019-05-02	4576	71	73317906	6981771	287037	10069
d121	2019-05-01	4386	67	66620618	6311847	266905	11202
d120	2019-04-30	4212	64	71252744	6757027	260927	11131
d119	2019-04-29	2579	57	46720538	4498752	200473	10002
d118	2019-04-28	2287	56	63250926	6206760	209215	10520
d117	2019-04-27	2111	54	61569640	6054436	191644	10192
d116	2019-04-26	5138	58	180725419	17508294	656535	45308
d115	2019-04-25	5098	55	74049389	6799992	481488	13051
d114	2019-04-24	5000	52	71955143	6516879	472895	8695
d113	2019-04-23	4911	52	67547160	6125529	380965	6764
d112	2019-04-22	4644	49	60325201	5511799	262401	4781
d111	2019-04-21	3503	48	56503436	5379799	242304	4630
d110	2019-04-20	3428	49	55710322	5315927	231978	4414
