day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d136	2019-05-16	38628	4044	135751756	46762390	994059	111465
d135	2019-05-15	41746	4382	162526558	56073807	1175776	138197
d134	2019-05-14	39842	4327	175405112	62091189	1152747	156479
d133	2019-05-13	37171	4174	159636937	57208386	1080648	151754
d132	2019-05-12	38819	4119	157050259	49480993	862251	125310
d131	2019-05-11	38582	4193	154044306	49568519	857736	128839
d130	2019-05-10	40048	4286	168313346	53983544	923566	142270
d129	2019-05-09	40077	4163	150108367	47636164	975332	125055
d128	2019-05-08	36455	3930	137476209	43819613	843424	116554
d127	2019-05-07	34874	3897	133277881	42460921	825844	107498
d126	2019-05-06	31574	3709	129409407	43422664	724193	108492
d125	2019-05-05	29437	3598	97993800	32935754	608682	94021
d124	2019-05-04	28907	3562	102794490	34828024	550292	86260
d123	2019-05-03	29258	3749	121887927	43525832	742914	125371
d122	2019-05-02	31181	4110	104052068	33412240	818262	87963
d121	2019-05-01	25700	4026	79182122	26306458	585981	82577
d120	2019-04-30	27586	4128	89455962	29035370	652146	81220
d119	2019-04-29	23326	3958	87901059	31305260	545153	86379
d118	2019-04-28	21314	3778	62918408	22064502	400367	58921
d117	2019-04-27	20676	3791	62017070	22007610	355404	55346
d116	2019-04-26	27891	3811	137674124	50419229	929582	153035
d115	2019-04-25	27028	3738	132392536	46055062	990755	140907
d114	2019-04-24	23842	3635	108757515	37795872	750197	105585
d113	2019-04-23	21471	3566	92283960	31691157	607776	85235
d112	2019-04-22	18484	3484	69515189	24140640	381830	56957
d111	2019-04-21	17184	3555	59475935	21088512	328471	45821
d110	2019-04-20	17405	3725	57194737	19858202	347527	46613
d109	2019-04-19	18113	3919	59956502	20563150	359277	47271
d108	2019-04-18	18410	4035	67519387	21536988	471029	49577
d107	2019-04-17	17707	4085	67075868	22207621	455000	52362
d106	2019-04-16	16811	4221	71462510	24317530	463292	55045
d105	2019-04-15	16247	4587	78945925	28092268	504886	71136
d104	2019-04-14	15327	4709	53395010	18661934	283168	41857
d103	2019-04-13	15442	4868	55902860	19674247	293085	41605
d102	2019-04-12	16700	5081	74392387	26455769	492504	65417
d101	2019-04-11	15596	4986	62798604	22270304	398077	58049
d100	2019-04-10	14454	4840	51691393	18082901	336556	47812
d099	2019-04-09	13980	4652	57291050	19859850	393356	56658
d098	2019-04-08	14234	4559	56076187	19204304	484451	62485
d097	2019-04-07	12341	4412	41422670	14298755	244770	35976
d096	2019-04-06	12383	4483	43925469	15415150	249948	36848
d095	2019-04-05	13362	4665	52583275	17876357	346189	45760
d094	2019-04-04	12151	4512	47478719	15860519	326636	46018
d093	2019-04-03	11494	4214	41019011	13442799	263742	34618
d092	2019-04-02	10651	3940	40501775	13372190	268564	36907
d091	2019-04-01	10353	3762	39268121	12878335	268532	32598
