platform_code	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	199636	24203	5080862364	1849995000	37330042	5364042
g	Google	11747	101	1555760000	145860000	8786750	257150
