audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	SE	Sweden	7396	1531	16610880	5582942	137995	33699
f35_44	female (35-44)	SE	Sweden	7429	1521	15367839	5149687	128616	31126
f45_54	female (45-54)	SE	Sweden	7050	1482	12365527	4158155	105721	25443
m25_34	male (25-34)	SE	Sweden	6837	1487	11890475	4048403	94094	23412
m18_24	male (18-24)	SE	Sweden	5820	1346	10042540	3551125	78582	19945
f65_	female (65+)	SE	Sweden	5341	1264	9712371	3316168	90501	22965
m35_44	male (35-44)	SE	Sweden	6910	1472	9284738	3088592	71052	17277
m45_54	male (45-54)	SE	Sweden	6490	1431	8585237	2883362	72147	17286
f18_24	female (18-24)	SE	Sweden	6107	1376	8533654	2939202	61911	15585
f55_64	female (55-64)	SE	Sweden	6148	1389	8404770	2739407	74391	18175
m65_	male (65+)	SE	Sweden	5126	1229	6855979	2343764	68790	17049
m55_64	male (55-64)	SE	Sweden	5762	1349	6320654	2071562	59843	14371
f13_17	female (13-17)	SE	Sweden	997	298	1398287	485893	7691	1855
m13_17	male (13-17)	SE	Sweden	1003	278	846462	303378	5005	1104
u35_44	unknown (35-44)	SE	Sweden	5678	1294	497524	163536	3939	927
u25_34	unknown (25-34)	SE	Sweden	5412	1260	391070	129641	3090	739
u45_54	unknown (45-54)	SE	Sweden	5266	1237	327908	107753	2799	655
u55_64	unknown (55-64)	SE	Sweden	4377	1125	184835	59236	1701	402
u65_	unknown (65+)	SE	Sweden	4039	1039	170188	55010	1683	384
u18_24	unknown (18-24)	SE	Sweden	3912	982	87612	29136	688	166
u13_17	unknown (13-17)	SE	Sweden	600	229	10359	3662	60	13
