age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	23967	5474	100877636	37371960	455218	42666
18_24	18-24	176150	23248	1231450707	465134997	7594280	1122018
25_34	25-34	197820	25221	1331497028	497422970	9009382	1376305
35_44	35-44	199943	25046	1038838072	380792269	7538534	1135326
45_54	45-54	195406	24339	904807309	322961712	7116033	1029229
55_64	55-64	186328	23075	712391743	247650771	5944899	803526
65_	65+	169671	20994	509903139	174348293	4549911	629137
