advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	18_24	18-24	1280	1	107848228	48147632	476229	121569
Kialo		729627343834501	Facebook	18_24	18-24	739	1	22959549	8912498	138548	31973
European Greens		141366725876424	Facebook	18_24	18-24	277	1	21236929	9367029	114987	28104
SPD	SPD	47930567748	Facebook	18_24	18-24	8186	1	20306781	5562837	424152	20582
Podemos	Unidas Podemos	269212336568846	Facebook	18_24	18-24	257	1	16546943	7393389	83737	21230
People's Vote UK	People's Vote	748608695327755	Facebook	18_24	18-24	3305	1	16190121	5797204	179657	33378
European Commission		107898832590939	Facebook	18_24	18-24	69	1	12021401	5546918	47023	12355
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	18_24	18-24	3241	1	11856399	4185259	118406	17587
sp.a	sp.a	57253967150	Facebook	18_24	18-24	227	1	11454276	4709883	49688	10098
Best For Britain	Best for Britain	1863944713844924	Facebook	18_24	18-24	820	1	10890209	4735567	107838	26138
CDU	CDU	78502295414	Facebook	18_24	18-24	3170	1	10873074	2591815	89786	2282
Partido Popular	Partido Popular	72249031214	Facebook	18_24	18-24	849	1	10288679	3851643	59400	8893
Greenpeace France		39435457457	Facebook	18_24	18-24	128	1	10198552	4698511	51533	11549
FDP	FDP	21289227249	Facebook	18_24	18-24	2484	1	9647248	2985027	84747	4300
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	18_24	18-24	220	1	8908707	3512650	20942	4011
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	18_24	18-24	125	1	8186209	3407345	26839	7760
Conservatives	The Conservative Party	8807334278	Facebook	18_24	18-24	1804	1	8033154	3017603	87991	12017
Vlaams Belang	Vlaams Belang	56605856504	Facebook	18_24	18-24	76	1	8026037	3659384	57018	14338
România în primul rând	Future Innovation	770704223323599	Facebook	18_24	18-24	67	1	7740823	3535766	5639	1551
Greenpeace Deutschland		22541752487	Facebook	18_24	18-24	422	1	6929011	2546768	35082	5213
PSOE	PSOE	189318235003	Facebook	18_24	18-24	328	1	6856634	2692487	21635	3649
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	18_24	18-24	123	1	6834341	2982156	59645	14074
Ciudadanos	Ciudadanos	74078667754	Facebook	18_24	18-24	3807	1	5981447	1911533	52762	4743
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	18_24	18-24	89	1	5817009	2646549	12108	2738
Parlement européen en France	Parlement européen en France	279757933824	Facebook	18_24	18-24	36	1	5759584	2325763	31078	7698
