advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	55_64	55-64	3898	1	21941857	6563638	254925	36650
Ciudadanos	Ciudadanos	74078667754	Facebook	55_64	55-64	4732	1	14564446	4505770	136649	11493
Partido Popular	Partido Popular	72249031214	Facebook	55_64	55-64	2897	1	11155997	3429496	105213	5927
Podemos	Unidas Podemos	269212336568846	Facebook	55_64	55-64	215	1	10713442	4850246	71837	19101
People's Vote UK	People's Vote	748608695327755	Facebook	55_64	55-64	3381	1	10205557	3321501	161820	27400
European Parliament		178362315106	Facebook	55_64	55-64	939	1	9093534	3972467	55796	12388
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	55_64	55-64	387	1	8860010	3657837	40803	7754
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	55_64	55-64	90	1	8752689	3986099	20757	6196
The Labour Party	The Labour Party	25749647410	Facebook	55_64	55-64	636	1	6716607	2663163	60065	13357
We are the 52%	We are the 52%	466744973727718	Facebook	55_64	55-64	278	1	6618808	2403876	19070	2500
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	55_64	55-64	3487	1	6498301	2054181	118802	12726
38 Degrees	38 Degrees	200006375787	Facebook	55_64	55-64	651	1	6330853	2288229	43415	6282
Conservatives	The Conservative Party	8807334278	Facebook	55_64	55-64	1744	1	6261808	2441112	79669	10663
SPD	SPD	47930567748	Facebook	55_64	55-64	6661	1	6148792	1557235	158077	6578
Partito Democratico		77034286895	Facebook	55_64	55-64	192	1	6126789	2665377	23895	5426
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	55_64	55-64	64	1	5653629	2644162	12652	5651
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	55_64	55-64	137	1	5541178	2308964	10454	2738
Best For Britain	Best for Britain	1863944713844924	Facebook	55_64	55-64	757	1	4689993	1928667	72694	16228
România în primul rând	Future Innovation	770704223323599	Facebook	55_64	55-64	82	1	4320559	1881738	5454	1295
Fidesz	Fidesz	9844779306	Facebook	55_64	55-64	93	1	4166790	1982473	14072	6912
sp.a	sp.a	57253967150	Facebook	55_64	55-64	268	1	4151474	1548522	24332	4944
The Brexit Party	The Brexit Party	230416667843105	Facebook	55_64	55-64	109	1	3816310	1793807	57149	16560
Sosialidemokraatit SDP		108945982480217	Facebook	55_64	55-64	272	1	3542706	1432258	21307	4679
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	55_64	55-64	32	1	3517972	1642979	10874	2727
FDP	FDP	21289227249	Facebook	55_64	55-64	2411	1	3492416	1054149	33046	2244
