week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-17	SK	Slovakia	2951	196	28655588	9251373	202140	16230
w019	Week 19	2019-05-06	2019-05-12	SK	Slovakia	2716	192	30867592	10985607	213327	28787
w018	Week 18	2019-04-29	2019-05-05	SK	Slovakia	2700	209	25402732	8787646	161340	14732
w017	Week 17	2019-04-22	2019-04-28	SK	Slovakia	2128	185	13047069	4508797	82773	8683
w016	Week 16	2019-04-15	2019-04-21	SK	Slovakia	881	208	5507485	1803254	29941	3065
w015	Week 15	2019-04-08	2019-04-14	SK	Slovakia	921	288	4387993	1465655	21136	1828
w014	Week 14	2019-04-01	2019-04-07	SK	Slovakia	771	289	3902349	1177525	20950	1855
w013	Week 13	2019-03-25	2019-03-31	SK	Slovakia	524	216	5200722	2136392	33922	5153
w012	Week 12	2019-03-18	2019-03-24	SK	Slovakia	480	188	4415596	1683021	20458	2502
w011	Week 11	2019-03-11	2019-03-17	SK	Slovakia	304	123	2130340	803199	9775	1033
w010	Week 10	2019-03-04	2019-03-10	SK	Slovakia	320	101	1915090	737145	9946	1040
w009	Week 9	2019-02-25	2019-03-03	SK	Slovakia	184	67	951730	278046	5761	276
w008	Week 8	2019-02-18	2019-02-24	SK	Slovakia	121	53	579334	200032	2380	183
w007	Week 7	2019-02-11	2019-02-17	SK	Slovakia	99	39	536446	201075	2562	226
w006	Week 6	2019-02-04	2019-02-10	SK	Slovakia	94	37	669040	246201	2734	222
w005	Week 5	2019-01-28	2019-02-03	SK	Slovakia	98	34	636564	203943	2407	160
w004	Week 4	2019-01-21	2019-01-27	SK	Slovakia	62	24	219865	73321	1313	90
w003	Week 3	2019-01-14	2019-01-20	SK	Slovakia	71	24	228325	99469	1772	144
w002	Week 2	2019-01-07	2019-01-13	SK	Slovakia	58	28	316252	142684	1273	75
w001	Week 1	2019-01-01	2019-01-06	SK	Slovakia	29	15	156860	53265	275	29
