country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	European Parliament		178362315106	Facebook	53	1	4802366	2204033	9514	2278
BG	Bulgaria	Демократична България	Демократична България	995342840629890	Facebook	35	1	2581101	959146	5830	744
BG	Bulgaria	Kialo		729627343834501	Facebook	256	1	2419785	938121	13701	3267
BG	Bulgaria	Приоритети	БЗНС	1163987410423594	Facebook	56	1	1410413	502773	5022	150
BG	Bulgaria	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	51	1	1056015	488509	2189	610
BG	Bulgaria	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	54	1	1017359	414754	3837	838
BG	Bulgaria	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	25	1	883610	334151	2378	315
BG	Bulgaria	Бареков и Байрактаров без цензура - ТВ предаване		405986069871245	Facebook	10	1	750326	265858	1463	392
BG	Bulgaria	Стефан Тафров	Стефан Тафров	233810563693016	Facebook	39	1	719560	174198	3528	0
BG	Bulgaria	Лиляна Павлова	Лиляна Павлова	119576588238010	Facebook	24	1	700502	138905	2325	0
BG	Bulgaria	Път на младите	Път на младите	2051476654950711	Facebook	16	1	681026	233474	2448	261
BG	Bulgaria	Крум Дончев/Krum Donchev		155516354469476	Facebook	8	1	679340	324705	556	0
BG	Bulgaria	Valeri Simeonov		1967166133516609	Facebook	22	1	611124	142367	2124	0
BG	Bulgaria	Volen Siderov		48268614826	Facebook	22	1	548609	119952	1714	0
BG	Bulgaria	European Greens	European Greens	141366725876424	Facebook	9	1	520153	234159	1860	451
BG	Bulgaria	informo.bg	informo.bg	262524054082832	Facebook	6	1	514774	231379	1073	154
BG	Bulgaria	ПП ГЕРБ - София		336639303182606	Facebook	1	1	499999	200000	444	89
BG	Bulgaria	Европейски парламент в България		163350039852	Facebook	1	1	499999	200000	4999	1000
BG	Bulgaria	България на Труда и Разума - БТР		709384432421964	Facebook	9	1	494598	154547	1015	78
BG	Bulgaria	Партия на ЗЕЛЕНИТЕ	Mitrakiev Boyan	1438204226503681	Facebook	13	1	375188	78040	1210	0
BG	Bulgaria	Кристиян Шкварек	Oblakov Nikolay	651747871952382	Facebook	17	1	353227	85321	1476	0
BG	Bulgaria	European Commission		107898832590939	Facebook	3	1	331399	165700	980	240
BG	Bulgaria	За Петър Чобанов	Chobanov Petar	762986410409232	Facebook	24	1	291069	65701	2092	0
BG	Bulgaria	Ангел Джамбазки	Войчин Мирчо	139581756144530	Facebook	9	1	237099	73613	699	0
BG	Bulgaria	Greens/EFA in the European Parliament		150527751674751	Facebook	13	1	198699	79642	309	49
BG	Bulgaria	EU Environment		305608429284	Facebook	2	1	178506	85511	854	166
BG	Bulgaria	Радан Кънев	Радан Кънев	1461853244069926	Facebook	8	1	174831	43236	707	0
BG	Bulgaria	Евро Ферт АД		271746059949890	Facebook	1	1	170940	85470	379	76
BG	Bulgaria	BRITA Bulgaria		1471240093191880	Facebook	1	1	166405	83203	82	0
BG	Bulgaria	Arte		656089814494677	Facebook	6	1	159645	68538	387	60
