advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Fidesz	Fidesz	9844779306	Facebook	HU	Hungary	123	1	27246872	11960998	137053	58652
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	HU	Hungary	147	1	12144695	5244967	33940	14395
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	HU	Hungary	23	1	8699977	3990000	27238	12504
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	HU	Hungary	144	1	8638857	3323000	25820	9677
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	HU	Hungary	138	1	7014190	2099701	24946	6298
MSZP	MSZP	115388925185513	Facebook	HU	Hungary	41	1	6504835	2692975	18926	7722
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	HU	Hungary	103	1	4775372	1753757	15721	5656
Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	HU	Hungary	132	1	4059867	1465999	7843	2730
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	HU	Hungary	38	1	4019962	1656000	7010	2469
European Greens	European Greens	141366725876424	Facebook	HU	Hungary	10	1	3784327	1721734	22934	5148
Alfahír	Alfahír Hírportál	525574220799452	Facebook	HU	Hungary	51	1	3650949	1459000	11407	4705
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	HU	Hungary	19	1	3604982	1541000	4813	2076
European Commission	European Commission	107898832590939	Facebook	HU	Hungary	28	1	3387627	1614407	13054	2971
Jakab Péter	Jobbik Magyarországért Mozgalom	781150971947219	Facebook	HU	Hungary	11	1	3299988	1369999	7119	3157
European Parliament	European Parliament	178362315106	Facebook	HU	Hungary	17	1	2774293	1201298	11319	2486
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	HU	Hungary	21	1	2510978	1141999	6531	2977
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	HU	Hungary	31	1	2210968	796999	6145	2176
Európai Parlament Tájékoztatási Irodája	Európai Parlament Tájékoztatási Irodája	126893087354793	Facebook	HU	Hungary	30	1	2163969	852999	2600	949
Gyöngyösi Márton	Jobbik Magyarországért Mozgalom	781030738624077	Facebook	HU	Hungary	31	1	1736969	715000	3792	1724
Csárdi Antal	LMP - Lehet Más a Politika	136387873164491	Facebook	HU	Hungary	4	1	1399996	600000	2785	1238
Schmuck Erzsébet	LMP - Lehet Más a Politika	1461534750733248	Facebook	HU	Hungary	5	1	1205990	500998	1253	622
Jobbik Ifjúsági Tagozat	Jobbik Magyarországért Mozgalom	129382163754757	Facebook	HU	Hungary	4	1	999996	450000	2476	990
KDNP és Frakciója	KDNP és Frakciója	230385242742	Facebook	HU	Hungary	43	1	966956	308999	1639	470
Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	HU	Hungary	3	1	899996	399999	928	464
PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	HU	Hungary	16	1	849984	200000	2383	588
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	HU	Hungary	5	1	604994	300999	1098	498
