advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	HR	Croatia	37	1	3248793	1492512	10705	2416
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	m	male	HR	Croatia	59	1	1738686	684360	3711	192
Kialo		729627343834501	Facebook	m	male	HR	Croatia	319	1	1321161	552700	6202	1567
Valter Flego	Valter Flego	441675022557503	Facebook	m	male	HR	Croatia	51	1	1119914	283187	3425	322
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	m	male	HR	Croatia	41	1	944757	320801	3290	239
Ruža Tomašić		1434305366791182	Facebook	m	male	HR	Croatia	38	1	866324	231254	2234	0
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	m	male	HR	Croatia	22	1	746005	262407	1542	173
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	m	male	HR	Croatia	19	1	736181	268904	1435	94
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	m	male	HR	Croatia	69	1	726478	191610	3943	57
pametno.org	pametno.org	144815235686385	Facebook	m	male	HR	Croatia	25	1	678789	225159	1496	49
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	m	male	HR	Croatia	17	1	581875	175423	1219	82
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	m	male	HR	Croatia	19	1	503340	135724	1497	120
Eclectica		1379977375431894	Facebook	m	male	HR	Croatia	1	1	410700	205350	1827	365
European Greens	European Greens	141366725876424	Facebook	m	male	HR	Croatia	14	1	409551	178435	1206	341
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	m	male	HR	Croatia	9	1	401979	133778	601	46
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m	male	HR	Croatia	47	1	297526	138565	728	194
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	m	male	HR	Croatia	7	1	251261	81155	561	45
Electrolux Hrvatska		1229501663771543	Facebook	m	male	HR	Croatia	3	1	236576	118289	178	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	HR	Croatia	26	1	230204	78454	751	65
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	m	male	HR	Croatia	14	1	229588	97049	1082	97
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	m	male	HR	Croatia	15	1	213644	50163	1606	179
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	m	male	HR	Croatia	15	1	192093	43418	710	0
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	m	male	HR	Croatia	3	1	160899	58015	207	0
Nova ljevica	Markovina Dragan	706769699498076	Facebook	m	male	HR	Croatia	14	1	152830	38831	769	0
Zoran Bahtijarević		2195720960680577	Facebook	m	male	HR	Croatia	4	1	152541	72145	429	80
