advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Europe Together		140105536131109	Facebook	m	male	HR	Croatia	1	1	10445	5222	52	10
Pametno Varaždin	Carev Dario	1814540012096003	Facebook	m	male	HR	Croatia	5	1	10312	2021	205	0
HSP dr. Ante Starčević - GRAD ZADAR		340028800056681	Facebook	m	male	HR	Croatia	1	1	8462	4231	74	0
SDP Split		111289382263907	Facebook	m	male	HR	Croatia	3	1	8403	1680	148	0
Erasmus Student Network		25226723130	Facebook	m	male	HR	Croatia	2	1	8071	4035	5	1
Krešimir Kartelo		372850916524649	Facebook	m	male	HR	Croatia	2	1	7781	1556	137	0
ALDE CoR - Liberals and Democrats in the European Committee of the Regions		1033827283344362	Facebook	m	male	HR	Croatia	1	1	7549	1509	75	15
LegacyFx		966644110116765	Facebook	m	male	HR	Croatia	3	1	7403	3701	18	7
Mirela Holy	Buzan Sinisa	469706743110415	Facebook	m	male	HR	Croatia	2	1	7156	3578	63	0
Direktno.hr		1483897331868092	Facebook	m	male	HR	Croatia	1	1	6957	3479	68	0
European Youth		130456876990360	Facebook	m	male	HR	Croatia	5	1	6932	3440	31	5
Marijana Puljak		795286267290540	Facebook	m	male	HR	Croatia	1	1	6850	3425	60	0
Huawei Europe		1709278142683543	Facebook	m	male	HR	Croatia	1	1	6843	3421	3	0
ALDE Group – Liberals and Democrats in the European Parliament		123910440019	Facebook	m	male	HR	Croatia	3	1	6841	3121	19	3
The Good Lobby		1420129598280317	Facebook	m	male	HR	Croatia	9	1	6701	2481	19	0
Talking Europe		316028505828375	Facebook	m	male	HR	Croatia	2	1	6552	2435	2	0
Rainfallpretend		270564953596356	Facebook	m	male	HR	Croatia	1	1	6400	3200	56	0
Climate-KIC		403370709744295	Facebook	m	male	HR	Croatia	2	1	6148	2623	15	6
eToro		193863317737	Facebook	m	male	HR	Croatia	15	1	6143	2757	13	3
HNS Dubrovačko-neretvanske županije		161469323948491	Facebook	m	male	HR	Croatia	2	1	6059	2544	72	0
Hrvatskadanas	Hrvatskadanas	140693889702485	Facebook	m	male	HR	Croatia	4	1	5986	765	281	0
DRH Lindersvold		512374155442078	Facebook	m	male	HR	Croatia	3	1	5984	2237	15	2
Ante Pranić, gradonačelnik Grada Vrgorca		984228071666006	Facebook	m	male	HR	Croatia	1	1	5883	2942	51	0
I Hate Bernie Sanders		105344429817836	Facebook	m	male	HR	Croatia	2	1	5859	2929	40	8
HNS Čepin		1355345984555185	Facebook	m	male	HR	Croatia	2	1	5854	1171	103	0
Europeana.eu		10261403667	Facebook	m	male	HR	Croatia	2	1	5784	2459	5	0
Hrvatski suverenisti		2305130156436757	Facebook	m	male	HR	Croatia	4	1	5615	697	249	0
Council of Europe - Directorate General Human Rights and Rule of Law		315160671967064	Facebook	m	male	HR	Croatia	34	1	5518	1814	28	0
Denis Bevanda		1649158232035552	Facebook	m	male	HR	Croatia	1	1	5510	2755	48	0
Solar Impulse		187539851277198	Facebook	m	male	HR	Croatia	2	1	5377	2150	4	0
ivijesti.hr		1983873185044065	Facebook	m	male	HR	Croatia	2	1	5363	1072	94	0
Slobodni Infocentar Zagreb		1741621996163657	Facebook	m	male	HR	Croatia	2	1	5004	869	134	0
Gordan Ponjavić Gale		296502741126610	Facebook	m	male	HR	Croatia	1	1	4999	1000	88	0
EU Civil Protection & Humanitarian Aid - ECHO		146955527905	Facebook	m	male	HR	Croatia	1	1	4589	917	9	0
Atlantic Forum		616121875501729	Facebook	m	male	HR	Croatia	3	1	4384	901	9	0
MEDAL display		1490537417901414	Facebook	m	male	HR	Croatia	2	1	4340	871	8	0
Energetska Rješenja		1954931291288079	Facebook	m	male	HR	Croatia	2	1	4248	1896	82	0
Parlametar	Gong	681017252285075	Facebook	m	male	HR	Croatia	2	1	4225	717	119	0
HRAST-Stenjevec		1024599217741524	Facebook	m	male	HR	Croatia	2	1	4204	700	123	0
Pokret Otoka / Island Movement		1728560254082852	Facebook	m	male	HR	Croatia	1	1	4153	2077	36	0
Hrvatska akademska zajednica		355203304814553	Facebook	m	male	HR	Croatia	2	1	4078	651	146	0
Tea Mičić Badurina		252549085627758	Facebook	m	male	HR	Croatia	1	1	4075	815	71	0
Mladen Kešer		1628254447458163	Facebook	m	male	HR	Croatia	1	1	3949	789	69	0
Golden Renewable Energy		1256218774533782	Facebook	m	male	HR	Croatia	2	1	3762	752	6	0
Goran Kotur		1570501086345718	Facebook	m	male	HR	Croatia	3	1	3756	556	135	0
Gorkić Taradi - Konobar s olovkom	Taradi Gorkic	1596258860660764	Facebook	m	male	HR	Croatia	1	1	3744	1872	33	0
Phralipen		1849702855296545	Facebook	m	male	HR	Croatia	2	1	3707	635	115	0
Nataša Gabričević	Hrvatska narodna stranka - liberalni demokrati (HNS)	284341509111383	Facebook	m	male	HR	Croatia	2	1	3585	647	98	0
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	m	male	HR	Croatia	6	1	3506	1015	4	0
Forum mladih SDP Varaždinske županije		438002916345988	Facebook	m	male	HR	Croatia	1	1	3490	698	61	0
Demokratski Savez Srba - DSS		1555570598034204	Facebook	m	male	HR	Croatia	1	1	3475	695	61	0
LIKE APP		272972103180159	Facebook	m	male	HR	Croatia	1	1	3429	1371	3	0
Orbex		1415953441956155	Facebook	m	male	HR	Croatia	7	1	3417	692	35	4
Cronika.hr		283035845697785	Facebook	m	male	HR	Croatia	1	1	3366	673	6	0
Diana Topčić-Rosenberg		1702271996513206	Facebook	m	male	HR	Croatia	1	1	3348	669	59	0
Subversive Festival		316666381719876	Facebook	m	male	HR	Croatia	1	1	3346	1673	29	0
Russian Embassy		451814155349320	Facebook	m	male	HR	Croatia	1	1	3153	630	55	0
