spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
1k_5k	1k - 5k	HR	Croatia	European Parliament		178362315106	Facebook	7	1	2090097	1014559	10689	2138
1k_5k	1k - 5k	HR	Croatia	Eclectica		1379977375431894	Facebook	1	1	584018	292009	2598	519
1k_5k	1k - 5k	HR	Croatia	Kialo		729627343834501	Facebook	33	1	344631	160577	2502	603
1k_5k	1k - 5k	HR	Croatia	European Greens	European Greens	141366725876424	Facebook	3	1	140283	61292	1143	228
1k_5k	1k - 5k	HR	Croatia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	2	1	109051	54526	545	109
1k_5k	1k - 5k	HR	Croatia	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	3	1	51215	22267	423	84
1k_5k	1k - 5k	HR	Croatia	European Youth Event		919232861444360	Facebook	1	1	35977	17989	179	35
1k_5k	1k - 5k	HR	Croatia	European Commission		107898832590939	Facebook	2	1	22801	11401	113	22
1k_5k	1k - 5k	HR	Croatia	Game of Sultans		185311195624361	Facebook	5	1	22592	9164	283	96
1k_5k	1k - 5k	HR	Croatia	Europe Together		140105536131109	Facebook	1	1	19999	10000	99	19
1k_5k	1k - 5k	HR	Croatia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	1	1	11813	4725	118	23
1k_5k	1k - 5k	HR	Croatia	Tuxy		870667836405958	Facebook	1	1	9985	3994	66	13
1k_5k	1k - 5k	HR	Croatia	Climate-KIC		403370709744295	Facebook	1	1	9800	3920	22	11
1k_5k	1k - 5k	HR	Croatia	Guardian Weekly		64525551258	Facebook	1	1	8145	3258	18	9
1k_5k	1k - 5k	HR	Croatia	Wholesome Culture		1664959567149320	Facebook	1	1	2987	1493	13	2
1k_5k	1k - 5k	HR	Croatia	Matthew Hussey		525275707491504	Facebook	3	1	2612	1044	23	4
1k_5k	1k - 5k	HR	Croatia	MasterClass		687589164666184	Facebook	2	1	2015	1007	8	1
1k_5k	1k - 5k	HR	Croatia	Pologize Fashion		274227073497806	Facebook	1	1	1590	795	14	7
1k_5k	1k - 5k	HR	Croatia	BonneGueule		140324089470	Facebook	1	1	1184	592	5	1
1k_5k	1k - 5k	HR	Croatia	RSM MBA		110428762358678	Facebook	1	1	871	436	4	0
1k_5k	1k - 5k	HR	Croatia	Gaia		182073298490036	Facebook	2	1	850	369	7	2
1k_5k	1k - 5k	HR	Croatia	γυρίζουμε		278308089460720	Facebook	1	1	155	62	1	0
1k_5k	1k - 5k	HR	Croatia	5Pillars	5 Pillars	490858150969676	Facebook	2	1	150	75	1	0
1k_5k	1k - 5k	HR	Croatia	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	1	1	133	53	1	0
1k_5k	1k - 5k	HR	Croatia	Greenpeace Polska		32104614789	Facebook	3	1	125	62	0	0
1k_5k	1k - 5k	HR	Croatia	eToro		105255116217636	Facebook	2	1	68	34	1	0
1k_5k	1k - 5k	HR	Croatia	Milaap		315603771494	Facebook	1	1	51	20	0	0
1k_5k	1k - 5k	HR	Croatia	Vegas Live Community		1024725667661429	Facebook	1	1	50	25	2	0
1k_5k	1k - 5k	HR	Croatia	ADAR		175390195814995	Facebook	1	1	25	13	0	0
1k_5k	1k - 5k	HR	Croatia	Revista QB		1908798559359662	Facebook	1	1	2	1	0	0
1k_5k	1k - 5k	HR	Croatia	Humble Household		1746853745395190	Facebook	1	1	1	0	0	0
