country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
UK	United Kingdom	d135	2019-05-15	2083	266	6131818	2157186	75647	9555
UK	United Kingdom	d134	2019-05-14	2328	317	6838831	2361580	93395	10786
UK	United Kingdom	d133	2019-05-13	2350	324	6334940	2203951	87395	10670
UK	United Kingdom	d132	2019-05-12	2175	316	5047993	1779261	68413	10213
UK	United Kingdom	d131	2019-05-11	2295	347	5515738	1957685	80869	10814
UK	United Kingdom	d130	2019-05-10	2403	362	5946608	2184646	93963	14226
UK	United Kingdom	d129	2019-05-09	1877	365	4584675	1551827	50939	7272
UK	United Kingdom	d128	2019-05-08	1939	378	6277287	2025048	88967	13901
UK	United Kingdom	d127	2019-05-07	1974	414	7615857	2934914	107086	13366
UK	United Kingdom	d126	2019-05-06	1583	391	4995007	1897522	54273	7720
UK	United Kingdom	d125	2019-05-05	1584	410	5298312	1943585	58139	12210
UK	United Kingdom	d124	2019-05-04	1537	436	4959532	1924737	52938	9832
UK	United Kingdom	d123	2019-05-03	1998	615	6859634	2490527	81427	14324
UK	United Kingdom	d122	2019-05-02	4113	1081	12353996	3687028	209042	19797
UK	United Kingdom	d121	2019-05-01	4619	1148	12742862	4289022	237174	27675
UK	United Kingdom	d120	2019-04-30	4144	1075	8937546	2812008	149860	17059
UK	United Kingdom	d119	2019-04-29	3953	1018	7919226	2475494	128310	12473
UK	United Kingdom	d118	2019-04-28	3683	951	6258501	1883957	111537	9458
UK	United Kingdom	d117	2019-04-27	3253	911	4978845	1585907	64893	6728
UK	United Kingdom	d116	2019-04-26	3180	881	6550472	2295274	84508	14992
UK	United Kingdom	d115	2019-04-25	3035	848	7105580	2323325	102283	16255
UK	United Kingdom	d114	2019-04-24	3157	802	10216286	3632673	145344	14329
UK	United Kingdom	d113	2019-04-23	2495	780	4117012	1364547	47919	6011
UK	United Kingdom	d112	2019-04-22	2381	755	4542125	1694726	44673	6201
UK	United Kingdom	d111	2019-04-21	2368	762	3477902	1131366	38184	4196
UK	United Kingdom	d110	2019-04-20	2370	780	3144143	972034	35684	3756
UK	United Kingdom	d109	2019-04-19	2473	807	3325632	1023136	39214	3937
UK	United Kingdom	d108	2019-04-18	2970	832	4218023	1151815	102572	5220
UK	United Kingdom	d107	2019-04-17	2476	793	3533490	1097989	54484	5088
UK	United Kingdom	d106	2019-04-16	2410	771	4178112	1524695	57569	8004
UK	United Kingdom	d105	2019-04-15	2403	791	3653123	1157060	43188	4412
UK	United Kingdom	d104	2019-04-14	2357	804	3408699	1126200	39227	4165
UK	United Kingdom	d103	2019-04-13	2349	804	3429300	1136652	40182	4383
UK	United Kingdom	d102	2019-04-12	2762	836	7608979	2832961	86426	13291
UK	United Kingdom	d101	2019-04-11	2810	850	6809534	2422548	88270	13478
UK	United Kingdom	d100	2019-04-10	2652	824	5684865	1955557	72633	10288
UK	United Kingdom	d099	2019-04-09	2698	816	9078548	3428287	98263	15137
UK	United Kingdom	d098	2019-04-08	2691	780	5160763	1622080	75525	10286
UK	United Kingdom	d097	2019-04-07	2358	747	4189843	1442643	56984	8440
UK	United Kingdom	d096	2019-04-06	2358	762	4347967	1514830	58936	8775
UK	United Kingdom	d095	2019-04-05	2397	792	4632412	1588815	54669	7480
UK	United Kingdom	d094	2019-04-04	2239	773	5720706	1801834	73576	9542
UK	United Kingdom	d093	2019-04-03	2083	734	5264632	1769943	66790	10344
UK	United Kingdom	d092	2019-04-02	2017	686	6317937	2072807	75017	10525
UK	United Kingdom	d091	2019-04-01	2154	650	5034210	1600066	71185	7635
UK	United Kingdom	d090	2019-03-31	2055	662	3696424	1170369	53658	7388
UK	United Kingdom	d089	2019-03-30	2087	671	3981205	1261870	56038	7299
UK	United Kingdom	d088	2019-03-29	2057	724	4172842	1339210	59658	7571
UK	United Kingdom	d087	2019-03-28	2050	728	5537454	1920852	71753	10446
UK	United Kingdom	d086	2019-03-27	1963	674	4695859	1490266	59934	8111
UK	United Kingdom	d085	2019-03-26	2628	680	6857855	2235620	92351	11080
UK	United Kingdom	d084	2019-03-25	3369	710	6435811	1818573	140565	10953
UK	United Kingdom	d083	2019-03-24	3095	673	4394453	1251398	95353	5183
UK	United Kingdom	d082	2019-03-23	2299	707	3884454	1207348	55262	5315
UK	United Kingdom	d081	2019-03-22	2300	717	9249887	3637475	110080	22624
UK	United Kingdom	d080	2019-03-21	2460	722	9104147	3252612	130706	16468
UK	United Kingdom	d079	2019-03-20	2676	663	8796648	2948462	116685	13310
UK	United Kingdom	d078	2019-03-19	2284	628	9151147	3146574	109804	15279
UK	United Kingdom	d077	2019-03-18	1985	602	5254495	1578452	69936	9657
UK	United Kingdom	d076	2019-03-17	1782	570	4628067	1333309	50669	6685
UK	United Kingdom	d075	2019-03-16	1633	566	3448705	1063732	39999	4823
UK	United Kingdom	d074	2019-03-15	1954	595	7840547	2690101	93559	7862
UK	United Kingdom	d073	2019-03-14	1661	574	4163077	1383167	56357	5694
UK	United Kingdom	d072	2019-03-13	1672	552	5060258	1647237	59151	5533
UK	United Kingdom	d071	2019-03-12	1921	551	5549066	1859558	57679	5621
UK	United Kingdom	d070	2019-03-11	1909	564	7883002	2925606	72320	8281
UK	United Kingdom	d069	2019-03-10	1732	555	3611702	1190813	42771	5336
UK	United Kingdom	d068	2019-03-09	1733	578	4117519	1442385	48094	6731
UK	United Kingdom	d067	2019-03-08	1758	577	3860432	1311876	43481	5891
UK	United Kingdom	d066	2019-03-07	1689	535	3344819	1096148	37384	3588
UK	United Kingdom	d065	2019-03-06	1396	514	3212497	1027716	40663	5375
UK	United Kingdom	d064	2019-03-05	1377	488	3262006	1090729	33568	3894
UK	United Kingdom	d063	2019-03-04	1673	483	5312584	1921787	46268	7539
UK	United Kingdom	d062	2019-03-03	1366	490	3427786	1216649	33924	5432
UK	United Kingdom	d061	2019-03-02	1394	488	3651618	1269322	36700	5669
UK	United Kingdom	d060	2019-03-01	1438	516	3777899	1275367	37781	5785
UK	United Kingdom	d059	2019-02-28	1566	507	3390974	1044864	38525	5217
UK	United Kingdom	d058	2019-02-27	1608	492	3732848	1098038	40624	5853
UK	United Kingdom	d057	2019-02-26	1635	467	4619237	1466650	60062	7874
UK	United Kingdom	d056	2019-02-25	1734	453	4437724	1428749	62833	9244
UK	United Kingdom	d055	2019-02-24	1742	422	4154913	1360014	70103	7744
UK	United Kingdom	d054	2019-02-23	1573	429	3949471	1299357	46095	6810
UK	United Kingdom	d053	2019-02-22	1834	449	4964189	1623950	75510	7615
UK	United Kingdom	d052	2019-02-21	1761	459	8207624	2676069	101938	13251
UK	United Kingdom	d051	2019-02-20	1458	440	11506974	4754319	95439	16622
UK	United Kingdom	d050	2019-02-19	1464	414	4311244	1460237	47613	7761
UK	United Kingdom	d049	2019-02-18	1338	403	4550952	1637685	42668	7034
UK	United Kingdom	d048	2019-02-17	1304	389	3856200	1326972	39116	6220
UK	United Kingdom	d047	2019-02-16	1292	397	2898344	930820	29900	3933
UK	United Kingdom	d046	2019-02-15	1384	413	3144666	970702	31863	3813
UK	United Kingdom	d045	2019-02-14	1373	407	3254904	1024999	32283	4011
UK	United Kingdom	d044	2019-02-13	1235	408	2619698	939649	26522	2975
UK	United Kingdom	d043	2019-02-12	1228	404	2429080	903287	25181	1876
UK	United Kingdom	d042	2019-02-11	1141	396	2609902	934451	23230	2409
UK	United Kingdom	d041	2019-02-10	1127	379	2416445	892250	21473	2044
UK	United Kingdom	d040	2019-02-09	1159	396	2711089	944324	23066	2087
UK	United Kingdom	d039	2019-02-08	1275	408	4934089	2060883	40682	4927
UK	United Kingdom	d038	2019-02-07	1221	391	3607363	1376903	28877	3317
UK	United Kingdom	d037	2019-02-06	1141	378	2362360	853563	25059	2539
UK	United Kingdom	d036	2019-02-05	1088	370	4440774	1651124	52139	8247
UK	United Kingdom	d035	2019-02-04	1171	339	5815338	2346338	70126	10279
UK	United Kingdom	d034	2019-02-03	1098	313	2556527	835628	23579	2522
UK	United Kingdom	d033	2019-02-02	1167	318	3066856	958181	26647	2681
UK	United Kingdom	d032	2019-02-01	1235	341	5116727	1613606	49742	7608
UK	United Kingdom	d031	2019-01-31	1339	358	4901776	1563419	48145	6472
UK	United Kingdom	d030	2019-01-30	1296	349	3843363	1290832	31026	3721
UK	United Kingdom	d029	2019-01-29	1542	333	7064154	2472785	81083	14232
UK	United Kingdom	d028	2019-01-28	1606	331	10031327	3737269	85680	14554
UK	United Kingdom	d027	2019-01-27	1373	313	3602842	1178462	42602	6322
UK	United Kingdom	d026	2019-01-26	1438	323	6936793	2655000	79478	15938
UK	United Kingdom	d025	2019-01-25	1289	330	3472400	1181843	39089	5790
UK	United Kingdom	d024	2019-01-24	1390	330	2850182	793550	44398	5153
UK	United Kingdom	d023	2019-01-23	1242	338	2251017	647481	29495	2393
UK	United Kingdom	d022	2019-01-22	954	324	2450911	875687	30241	3909
UK	United Kingdom	d021	2019-01-21	1014	329	2998350	1102364	27169	3098
UK	United Kingdom	d020	2019-01-20	1044	316	2649001	945699	26567	2657
UK	United Kingdom	d019	2019-01-19	1029	307	2498999	886598	24556	2579
UK	United Kingdom	d018	2019-01-18	1066	328	2948731	1104614	29429	4715
UK	United Kingdom	d017	2019-01-17	1010	332	3191028	1077891	39856	6190
UK	United Kingdom	d016	2019-01-16	1031	332	5714545	2006479	60803	11510
UK	United Kingdom	d015	2019-01-15	1265	318	5926374	1866371	65822	8994
UK	United Kingdom	d014	2019-01-14	1258	314	5377917	1675166	55856	6984
UK	United Kingdom	d013	2019-01-13	1080	308	4810855	1566419	45467	7420
UK	United Kingdom	d012	2019-01-12	979	300	4183437	1319405	37864	6854
UK	United Kingdom	d011	2019-01-11	990	305	3673105	1111138	36515	5672
UK	United Kingdom	d010	2019-01-10	887	290	4005745	1271402	34565	5756
UK	United Kingdom	d009	2019-01-09	698	261	2358778	745399	23958	3353
UK	United Kingdom	d008	2019-01-08	594	230	2148066	673746	20515	3340
UK	United Kingdom	d007	2019-01-07	563	223	2042596	686294	12621	1460
UK	United Kingdom	d006	2019-01-06	1880	226	7327404	2395204	78943	11143
UK	United Kingdom	d005	2019-01-05	1901	226	7625216	2488102	80936	11388
UK	United Kingdom	d004	2019-01-04	1912	207	8197475	2712075	85480	12513
UK	United Kingdom	d003	2019-01-03	1562	200	8397407	2849136	77751	14025
UK	United Kingdom	d002	2019-01-02	1672	204	8918555	2952621	90964	14930
UK	United Kingdom	d001	2019-01-01	1626	184	9016217	2991051	90774	14641
